country,country_label,state,state_label,county,county_label,unit_label,year,Dairy cows,Beef cattle,excl cattle,"Fattening pigs, live weight 50 kg or over",Sheep,County Layers,County broiler,标记
AT,Austria,AT1,Ostösterreich,AT11,Burgenland (AT),Thousand heads (animals),2021,3309.9371284213726,5707.295308915434,11720.0,76305.97532630073,8170.162444824432,586192.3876871881,4474457.96839729,
AT,Austria,AT1,Ostösterreich,AT12,Niederösterreich,Thousand heads (animals),2021,100388.09314870743,151549.0736492366,258459.99999999997,1317619.645986054,92821.84554817672,2889836.730449251,31008718.329571106,
AT,Austria,AT1,Ostösterreich,AT13,Wien,Thousand heads (animals),2021,29.99943016696108,0.0,40.0,174.5133798200131,410.00815206585276,949.0432612312812,0.0,
AT,Austria,AT2,Südösterreich,AT21,Kärnten,Thousand heads (animals),2021,33539.362926662485,56894.60011075073,119910.0,232451.82192025747,53641.066528810596,738672.0049916806,16113483.250564331,
AT,Austria,AT2,Südösterreich,AT22,Steiermark,Thousand heads (animals),2021,79338.4929815564,101202.57574558974,185370.0,1438295.6481315931,82431.63896289816,3468436.7720465893,21806189.39051919,
AT,Austria,AT3,Westösterreich,AT31,Oberösterreich,Thousand heads (animals),2021,161636.92973958628,193895.16652163595,312780.0,2002671.9184695156,99731.98294031098,1642477.5374376045,25569625.19187359,
AT,Austria,AT3,Westösterreich,AT32,Salzburg,Thousand heads (animals),2021,58878.88160768895,51340.1787833241,81910.0,19414.613504976456,41990.83489084185,173042.22129783692,747252.5959367945,
AT,Austria,AT3,Westösterreich,AT33,Tirol,Thousand heads (animals),2021,63758.78891484795,61710.13052764813,89670.00000000001,24388.244829846833,105632.1002505269,192023.0865224626,258141.8058690745,
AT,Austria,AT3,Westösterreich,AT34,Vorarlberg,Thousand heads (animals),2021,25579.514122362147,21911.9373467289,30930.0,13001.246796590976,18140.360679206267,194553.86855241263,335131.467268623,
BE,Belgium,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Thousand heads (animals),2021,210.0,148.12940608401738,490.0,0.0,0.0,,,
BE,Belgium,BE2,Vlaams Gewest,BE21,Prov. Antwerpen,Thousand heads (animals),2021,93920.0,436685.4891356833,135079.99999999997,1859450.131158484,0.0,4589541.331715455,82345833.66320638,
BE,Belgium,BE2,Vlaams Gewest,BE22,Prov. Limburg (BE),Thousand heads (animals),2021,40740.0,85248.473201352,63510.00000000001,698399.3170101263,0.0,1379572.2736235403,26906808.714033753,
BE,Belgium,BE2,Vlaams Gewest,BE23,Prov. Oost-Vlaanderen,Thousand heads (animals),2021,88560.0,51586.06566875906,202130.0,1705520.9142747584,0.0,2629809.646594874,43006083.20878945,
BE,Belgium,BE2,Vlaams Gewest,BE24,Prov. Vlaams-Brabant,Thousand heads (animals),2021,18680.0,21589.860936745532,69660.00000000001,271412.3391231484,0.0,220485.211588048,7788920.251511359,
BE,Belgium,BE2,Vlaams Gewest,BE25,Prov. West-Vlaanderen,Thousand heads (animals),2021,103620.0,71139.14727184935,262330.00000000006,6119570.785388648,0.0,4876541.635067497,86488789.6756473,
BE,Belgium,BE3,Région wallonne,BE31,Prov. Brabant wallon,Thousand heads (animals),2021,6930.0,6443.629164654756,34350.0,49486.06304412663,0.0,84991.50614287882,1983893.3904215647,
BE,Belgium,BE3,Région wallonne,BE32,Prov. Hainaut,Thousand heads (animals),2021,56800.0,31181.23998068566,202440.00000000003,318101.18497109826,0.0,814193.9936296073,14636815.096067106,
BE,Belgium,BE3,Région wallonne,BE33,Prov. Liège,Thousand heads (animals),2021,72620.0,22404.57267020763,153850.0,262815.0097996052,0.0,509949.0368572729,10041678.04392024,
BE,Belgium,BE3,Région wallonne,BE34,Prov. Luxembourg (BE),Thousand heads (animals),2021,27540.0,17849.593433124093,264170.0,86466.91979946315,0.0,501326.7101471258,8860304.156400211,
BE,Belgium,BE3,Région wallonne,BE35,Prov. Namur,Thousand heads (animals),2021,27640.0,22700.831482375663,178050.0,214357.33543054352,0.0,635588.6546337025,20498873.8000027,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG31,Severozapaden,Thousand heads (animals),2021,34690.0,14653.090324309836,27169.999999999996,36482.41874362338,180950.0,0.0,4089756.8972411044,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG32,Severen tsentralen,Thousand heads (animals),2021,35530.0,14784.508174752078,31050.0,253917.6344556187,146520.0,0.0,19632898.64054378,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG33,Severoiztochen,Thousand heads (animals),2021,31619.999999999996,9692.066470115251,34160.0,314306.7675994753,165590.0,0.0,10276030.587764896,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG34,Yugoiztochen,Thousand heads (animals),2021,44390.0,25757.898686679175,66839.99999999999,475988.2633726862,266520.0,0.0,9026382.646941222,
