country,country_label,state,state_label,county,county_label,unit_label,year,Dairy cows,Beef cattle,excl cattle,"Fattening pigs, live weight 50 kg or over",Sheep,County Layers,County broiler,标记
AT,Austria,AT1,Ostösterreich,AT11,Burgenland (AT),Thousand heads (animals),2001,6956.229431438127,7998.873030583875,16400.0,139281.53361809842,6762.44605263158,319228.45772760495,5521972.217368513,
AT,Austria,AT1,Ostösterreich,AT12,Niederösterreich,Thousand heads (animals),2001,123473.07240802675,174642.06116774792,339900.00000000006,1361364.6672994778,76051.50868421052,1774198.0021115898,18533017.64808667,
AT,Austria,AT1,Ostösterreich,AT13,Wien,Thousand heads (animals),2001,102.29749163879598,0.0,0.0,408.4502452143648,208.07526315789474,847.8843498741168,0.0,
AT,Austria,AT2,Südösterreich,AT21,Kärnten,Thousand heads (animals),2001,41635.07909698996,65324.129749768304,150200.0,289182.7736117703,51602.6652631579,312021.44075367507,11179419.709942339,
AT,Austria,AT2,Südösterreich,AT22,Steiermark,Thousand heads (animals),2001,93090.71739130435,117316.80444856347,241700.0,1505139.1536149343,67104.27236842105,1496939.819702753,14414569.281845182,
AT,Austria,AT3,Westösterreich,AT31,Oberösterreich,Thousand heads (animals),2001,194058.341638796,215969.57182576467,411300.0,1750617.7509887677,58052.99842105263,992024.6893527168,12111489.603354884,
AT,Austria,AT3,Westösterreich,AT32,Salzburg,Thousand heads (animals),2001,65368.09715719064,51992.67469879518,97500.0,43704.176237937034,32043.590526315787,125062.94160643224,54190.11008212477,
AT,Austria,AT3,Westösterreich,AT33,Tirol,Thousand heads (animals),2001,62708.36237458194,66657.27525486561,119800.0,46563.32795443759,88848.13736842106,125062.94160643224,97542.19814782456,
AT,Austria,AT3,Westösterreich,AT34,Vorarlberg,Thousand heads (animals),2001,24449.10050167224,21330.328081556996,35300.0,27366.16642936244,14461.230789473684,74613.82278892228,113799.231172462,
BE,Belgium,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Thousand heads (animals),2001,100.00623900175971,0.0,300.0,0.0,0.0,1486925.8880124784,29601206.676215682,
BE,Belgium,BE2,Vlaams Gewest,BE21,Prov. Antwerpen,Thousand heads (animals),2001,84405.26571748519,462271.2256880734,146800.00000000006,1746650.7675753229,18826.86624928856,64103.28897550411,33895873.74820754,
BE,Belgium,BE2,Vlaams Gewest,BE22,Prov. Limburg (BE),Thousand heads (animals),2001,42702.664053751396,91733.19816513763,101200.00000000001,864626.5208034433,15101.76437108708,2003056.5222508665,16990449.401623238,
BE,Belgium,BE2,Vlaams Gewest,BE23,Prov. Oost-Vlaanderen,Thousand heads (animals),2001,92705.78355463127,76511.09541284404,276500.0,2133042.1233859397,23760.10927717701,1275361.6954019535,17988906.35524116,
BE,Belgium,BE2,Vlaams Gewest,BE24,Prov. Vlaams-Brabant,Thousand heads (animals),2001,23201.447448408257,59686.66605504588,97599.99999999999,296165.93974175036,16108.548662492885,19224.428339126065,31134604.52779869,
BE,Belgium,BE2,Vlaams Gewest,BE25,Prov. West-Vlaanderen,Thousand heads (animals),2001,104606.52599584067,128586.71009174311,353199.99999999994,5655474.734576757,36948.983494593056,858306.5566990151,25083295.32838868,
BE,Belgium,BE3,Région wallonne,BE31,Prov. Brabant wallon,Thousand heads (animals),2001,12000.748680211165,2804.071559633028,57200.0,39650.631276901004,4530.529311326124,813632.8331761026,15917705.811644712,
BE,Belgium,BE3,Région wallonne,BE32,Prov. Hainaut,Thousand heads (animals),2001,91605.7149256119,23233.735779816514,298999.99999999994,262179.6843615495,14699.050654524759,1561763.0326258817,16130323.493120478,
BE,Belgium,BE3,Région wallonne,BE33,Prov. Liège,Thousand heads (animals),2001,93605.8397056471,9613.959633027524,218600.0,201489.9426111908,16209.227091633464,1720323.9848520593,16975000.777540505,
BE,Belgium,BE3,Région wallonne,BE34,Prov. Luxembourg (BE),Thousand heads (animals),2001,38102.37705967045,8412.214678899083,387500.0,27512.682926829268,16913.97609561753,2484262.0141454893,32705781.064794738,
BE,Belgium,BE3,Région wallonne,BE35,Prov. Namur,Thousand heads (animals),2001,42202.632858742596,12017.449541284404,256300.0,53406.97274031564,13792.944792259532,1986039.7555215226,25576852.81542458,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG31,Severozapaden,Thousand heads (animals),2001,,32770.09760465614,,211450.341270051,0.0,1825328.843598381,12362370.986236637,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG32,Severen tsentralen,Thousand heads (animals),2001,,43923.286063618165,,188591.1758127182,0.0,1695909.942824264,9184755.744121868,
