country,country_label,state,state_label,county,county_label,unit_label,year,Dairy cows,Beef cattle,excl cattle,"Fattening pigs, live weight 50 kg or over",Sheep,County Layers,County broiler,标记
AT,Austria,AT1,Ostösterreich,AT11,Burgenland (AT),Thousand heads (animals),2009,4484.229333183234,7685.576031656303,14829.999999999998,121329.27785859528,6151.964883388632,251722.87862513424,4994510.56125528,
AT,Austria,AT1,Ostösterreich,AT12,Niederösterreich,Thousand heads (animals),2009,105114.72991481857,163488.02543810062,293860.0,1465848.4203724393,76247.95105470925,1751310.4189044037,20997037.21585194,
AT,Austria,AT1,Ostösterreich,AT13,Wien,Thousand heads (animals),2009,39.94859094149874,0.0,70.0,269.9205291626146,382341.74275265797,597.2073039742212,0.0,
AT,Austria,AT2,Südösterreich,AT21,Kärnten,Thousand heads (animals),2009,34335.813914218175,64734.024590163935,141740.0,267536.2311550115,46551.78411760432,359220.1933404941,10941039.898075506,
AT,Austria,AT2,Südösterreich,AT22,Steiermark,Thousand heads (animals),2009,81624.9584412173,115820.50056529112,220679.99999999994,1651058.8901328533,68725.68869729481,2083656.2835660581,18064436.66599611,
AT,Austria,AT3,Westösterreich,AT31,Oberösterreich,Thousand heads (animals),2009,167114.9430560246,204628.46184284906,347090.0,2035110.8163763934,66636.7037368918,917310.4189044038,15940334.473278346,
AT,Austria,AT3,Westösterreich,AT32,Salzburg,Thousand heads (animals),2009,58085.251228939174,53912.05539853024,89010.0,16285.205259477749,29552.429439829502,58227.712137486575,210496.61369275127,
AT,Austria,AT3,Westösterreich,AT33,Tirol,Thousand heads (animals),2009,57685.76531952418,66401.11644997174,104380.0,17589.821150430387,87584.04833983192,46880.773361976375,62192.18131831288,
AT,Austria,AT3,Westösterreich,AT34,Vorarlberg,Thousand heads (animals),2009,23809.36020113325,23084.98388920294,33970.0,22358.41716563658,13827.547237896879,91074.11385606874,133952.39053175083,
BE,Belgium,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Thousand heads (animals),2009,70.0,0.0,150.0,,49.99904997149914,356686.6280703426,21121312.15346945,
BE,Belgium,BE2,Vlaams Gewest,BE21,Prov. Antwerpen,Thousand heads (animals),2009,76410.0,475792.84320293926,127510.0,1556854.4463499072,16579.68497054912,1985544.8075454792,32686252.060196374,
BE,Belgium,BE2,Vlaams Gewest,BE22,Prov. Limburg (BE),Thousand heads (animals),2009,37210.0,70939.95742381673,81139.99999999999,768577.7521373935,14759.719551586548,1504654.479478195,22226833.77967894,
BE,Belgium,BE2,Vlaams Gewest,BE23,Prov. Oost-Vlaanderen,Thousand heads (animals),2009,76180.0,56214.15398746487,234970.0,1881129.3389711215,22499.572487174613,373103.17303284147,32444641.17255912,
BE,Belgium,BE2,Vlaams Gewest,BE24,Prov. Vlaams-Brabant,Thousand heads (animals),2009,17760.0,33165.07034795764,82840.0,264300.7855746936,12839.75603268098,776461.1751617247,5463061.561800406,
BE,Belgium,BE2,Vlaams Gewest,BE25,Prov. West-Vlaanderen,Thousand heads (animals),2009,89390.0,106751.40404149557,299070.00000000006,5836230.291964544,31209.406992209766,937660.0954586619,20701456.823999867,
BE,Belgium,BE3,Région wallonne,BE31,Prov. Brabant wallon,Thousand heads (animals),2009,8420.0,2347.5918521720337,47640.0,67231.61202156507,2559.9513585407562,1726785.2340581177,43221419.05135356,
BE,Belgium,BE3,Région wallonne,BE32,Prov. Hainaut,Thousand heads (animals),2009,70560.0,20360.023881564728,261790.00000000003,312232.21953075595,11429.782823484706,110865.43230345624,26035241.1567,
BE,Belgium,BE3,Région wallonne,BE33,Prov. Liège,Thousand heads (animals),2009,83710.0,9262.316944024205,191790.00000000006,242448.5178476368,14689.72088162645,827204.0001850198,38171728.75668394,
BE,Belgium,BE3,Région wallonne,BE34,Prov. Luxembourg (BE),Thousand heads (animals),2009,31430.0,5548.853468770261,337640.0,82304.89158511882,14819.718411552347,1044365.1212206235,15899727.894334575,
BE,Belgium,BE3,Région wallonne,BE35,Prov. Namur,Thousand heads (animals),2009,33440.0,9646.468338015993,226260.0,149975.1440172635,16459.68725061752,2184669.8534855377,31271325.589223832,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG31,Severozapaden,Thousand heads (animals),2009,25325.625694665534,39187.25829818562,,24984.700714556144,528425.1400012154,1735917.231276323,11347648.818647915,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG32,Severen tsentralen,Thousand heads (animals),2009,81465.36925164414,33505.41252085703,,340738.8507232002,67560.8337175789,1582134.7738509432,10677569.427559596,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG33,Severoiztochen,Thousand heads (animals),2009,54478.0820376665,17738.793885937364,,133811.36804677697,177600.21104032916,1095374.1988646765,11697255.457476605,
