country,country_label,state,state_label,county,county_label,unit_label,year,Dairy cows,Beef cattle,excl cattle,"Fattening pigs, live weight 50 kg or over",Sheep,County Layers,County broiler,标记
AT,Austria,AT1,Ostösterreich,AT11,Burgenland (AT),Thousand heads (animals),1996,9083.77331420373,0.0,25000.0,174462.50752177354,6734.738532110092,323130.68181818177,3860694.1553936866,
AT,Austria,AT1,Ostösterreich,AT12,Niederösterreich,Thousand heads (animals),1996,127172.82639885222,187386.7899159664,367000.0,1395700.0601741883,66385.27981651376,2129596.5909090904,19260870.013874438,
AT,Austria,AT1,Ostösterreich,AT13,Wien,Thousand heads (animals),1996,0.0,0.0,0.0,0.0,0.0,1210.2272727272725,0.0,
AT,Austria,AT2,Südösterreich,AT21,Kärnten,Thousand heads (animals),1996,40876.97991391679,84000.97478991597,151000.0,292123.26840855106,55802.11926605505,356613.63636363624,9031361.775927853,
AT,Austria,AT2,Südösterreich,AT22,Steiermark,Thousand heads (animals),1996,102646.63845050214,142155.49579831935,249000.0,1517418.0886777514,63498.963302752294,1511170.4545454548,15000793.704474507,
AT,Austria,AT3,Westösterreich,AT31,Oberösterreich,Thousand heads (animals),1996,198026.2582496413,206771.63025210082,427000.0,1618849.779097387,60612.64678899082,1200142.0454545452,13877198.577870272,
AT,Austria,AT3,Westösterreich,AT32,Salzburg,Thousand heads (animals),1996,62678.03586800574,51692.907563025205,97000.0,44629.94378463975,38484.22018348624,141193.18181818177,197028.52930974678,
AT,Austria,AT3,Westösterreich,AT33,Tirol,Thousand heads (animals),1996,68128.29985652797,58154.52100840336,110000.0,52744.47901821061,110642.13302752293,154909.09090909085,85201.5261879986,
AT,Austria,AT3,Westösterreich,AT34,Vorarlberg,Thousand heads (animals),1996,24526.18794835007,25846.453781512602,32000.0,24343.60570071259,16355.793577981653,146034.09090909088,95851.71696149842,
BE,Belgium,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Thousand heads (animals),1996,100.0,0.0,300.0,0.0,100.0,,,
BE,Belgium,BE2,Vlaams Gewest,BE21,Prov. Antwerpen,Thousand heads (animals),1996,85400.0,128600.0,148699.99999999997,415600.0,12100.0,,,
BE,Belgium,BE2,Vlaams Gewest,BE22,Prov. Limburg (BE),Thousand heads (animals),1996,43500.0,23100.0,109100.0,210700.0,10800.0,,,
BE,Belgium,BE2,Vlaams Gewest,BE23,Prov. Oost-Vlaanderen,Thousand heads (animals),1996,96400.0,31100.0,289799.99999999994,488000.0,15500.0,,,
BE,Belgium,BE2,Vlaams Gewest,BE24,Prov. Vlaams-Brabant,Thousand heads (animals),1996,24300.0,19700.0,97700.0,77100.0,12300.0,,,
BE,Belgium,BE2,Vlaams Gewest,BE25,Prov. West-Vlaanderen,Thousand heads (animals),1996,105300.0,53900.00000000001,356599.9999999999,1391000.0,25400.0,,,
BE,Belgium,BE3,Région wallonne,BE31,Prov. Brabant wallon,Thousand heads (animals),1996,12800.0,2500.0,57400.00000000001,8100.0,4100.000000000001,,,
BE,Belgium,BE3,Région wallonne,BE32,Prov. Hainaut,Thousand heads (animals),1996,98700.0,5400.0,295000.00000000006,48400.0,11600.0,,,
BE,Belgium,BE3,Région wallonne,BE33,Prov. Liège,Thousand heads (animals),1996,97000.0,4200.0,215600.0,34300.0,10600.0,,,
BE,Belgium,BE3,Région wallonne,BE34,Prov. Luxembourg (BE),Thousand heads (animals),1996,39100.0,1000.0,342299.99999999994,7600.0,10400.0,,,
BE,Belgium,BE3,Région wallonne,BE35,Prov. Namur,Thousand heads (animals),1996,47200.0,2600.0,236500.00000000003,6500.0,10700.0,,,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG31,Severozapaden,Thousand heads (animals),1996,40226.859917788905,95173.39826381311,,486340.04341273336,0.0,1329217.613374238,9201760.344482535,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG32,Severen tsentralen,Thousand heads (animals),1996,144765.1674043443,24325.503380682963,,720281.2646223882,0.0,1234326.4205373314,11378366.247572,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG33,Severoiztochen,Thousand heads (animals),1996,50776.30729962915,74397.5399621443,,583629.8244262518,0.0,2544867.34308795,613579.6487081522,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG34,Yugoiztochen,Thousand heads (animals),1996,27331.7819009158,151901.45871431433,,175387.3098885448,0.0,391171.8878485217,21123941.018638153,
BG,Bulgaria,BG4,Yugozapadna i yuzhna tsentralna Bulgaria,BG41,Yugozapaden,Thousand heads (animals),1996,5991.010027047138,49836.70284932799,,311645.86960825435,4216359.0,2878342.2761833975,21141779.22348475,
BG,Bulgaria,BG4,Yugozapadna i yuzhna tsentralna Bulgaria,BG42,Yuzhen tsentralen,Thousand heads (animals),1996,100676.8734502747,26565.39682971732,,276366.6880418277,0.0,2237074.458968562,2540573.51711441,
CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH01,Région lémanique,Thousand heads (animals),1996,,0.0,,,0.0,,,
CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH02,Espace Mittelland,Thousand heads (animals),1996,,0.0,,,0.0,,,
