country,country_label,state,state_label,county,county_label,unit_label,year,Dairy cows,Beef cattle,excl cattle,"Fattening pigs, live weight 50 kg or over",Sheep,County Layers,County broiler,标记
AT,Austria,AT1,Ostösterreich,AT11,Burgenland (AT),Thousand heads (animals),2006,120059.20670946236,107268.3360051117,,228439.68979836564,19686.230655791747,330367.597685549,5153230.220892371,
AT,Austria,AT1,Ostösterreich,AT12,Niederösterreich,Thousand heads (animals),2006,74572.19650370369,85218.10634446517,,849015.0732687003,62081.00896472178,2014330.1664404601,16887310.569391884,
AT,Austria,AT1,Ostösterreich,AT13,Wien,Thousand heads (animals),2006,78570.28087878232,132937.41459935386,,578270.5218084732,51888.671033554696,793.1995142510182,0.0,
AT,Austria,AT2,Südösterreich,AT21,Kärnten,Thousand heads (animals),2006,59413.891515232994,100342.61764207958,,65121.77895313544,34194.44114070688,331557.3969569256,9579382.645428143,
AT,Austria,AT2,Südösterreich,AT22,Steiermark,Thousand heads (animals),2006,25458.821117368014,140225.0154400129,,848604.829459094,15599.537074212005,1761696.1211515109,15947947.285047965,
AT,Austria,AT3,Westösterreich,AT31,Oberösterreich,Thousand heads (animals),2006,23716.70023722146,312.67511910159584,,910668.9309593871,18703.714507231354,912972.6409029217,12402779.635659598,
AT,Austria,AT3,Westösterreich,AT32,Salzburg,Thousand heads (animals),2006,50734.60098919789,11419.277241971085,,190844.6681159641,51935.07819327983,66628.75919708551,132678.42999207956,
AT,Austria,AT3,Westösterreich,AT33,Tirol,Thousand heads (animals),2006,17866.901666131755,55249.20645995729,,928597.6563099565,69226.72541574313,52351.1679405672,58378.509196515,
AT,Austria,AT3,Westösterreich,AT34,Vorarlberg,Thousand heads (animals),2006,82637.40038289948,49790.3511479467,,762146.8513269236,57512.59301475858,81302.95021072935,143292.7043914459,
BE,Belgium,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Thousand heads (animals),2006,89681.74333007474,90852.62559939477,,507164.0535765025,12023.67923555672,1247329.4558165632,19683363.582987487,
BE,Belgium,BE2,Vlaams Gewest,BE21,Prov. Antwerpen,Thousand heads (animals),2006,5318.509039728136,81268.00462784592,,1356351.8627868963,19826.874308534418,1184676.3516691043,6659835.715080833,
BE,Belgium,BE2,Vlaams Gewest,BE22,Prov. Limburg (BE),Thousand heads (animals),2006,41911.27744770473,10362.063840588387,,1031989.5233742775,6415.871363517182,1986581.924276738,53499449.728502676,
BE,Belgium,BE2,Vlaams Gewest,BE23,Prov. Oost-Vlaanderen,Thousand heads (animals),2006,62972.505859727986,118155.24701091365,,964458.1686336994,30455.096920216765,234818.48559788684,29800921.770379312,
BE,Belgium,BE2,Vlaams Gewest,BE24,Prov. Vlaams-Brabant,Thousand heads (animals),2006,42350.63805758588,5196.64587900195,,839553.9746143186,5075.886305764793,831340.1188734866,54633570.174443,
BE,Belgium,BE2,Vlaams Gewest,BE25,Prov. West-Vlaanderen,Thousand heads (animals),2006,71247.21809370468,80652.0966297403,,1215822.1300192391,6081.3940181040525,1220859.997836194,21263391.596156694,
BE,Belgium,BE3,Région wallonne,BE31,Prov. Brabant wallon,Thousand heads (animals),2006,72662.9197261732,53643.5031916912,,1370775.4954184901,27372.66004007365,1692618.8577595488,41417608.180943295,
BE,Belgium,BE3,Région wallonne,BE32,Prov. Hainaut,Thousand heads (animals),2006,36502.45874408862,104943.88457877665,,953285.953880468,30328.572004335765,2021698.4005121817,6795405.520134162,
BE,Belgium,BE3,Région wallonne,BE33,Prov. Liège,Thousand heads (animals),2006,43949.34885439734,100559.28712391887,,26766.649108941718,6194.341578964873,927942.8913777426,33852550.26681677,
BE,Belgium,BE3,Région wallonne,BE34,Prov. Luxembourg (BE),Thousand heads (animals),2006,30264.199295922135,113707.18844243653,,2101461.514405011,17805.84953018549,37926.71012348403,30694749.08824923,
BE,Belgium,BE3,Région wallonne,BE35,Prov. Namur,Thousand heads (animals),2006,10466.181550892565,60153.45307569176,,373162.6741821552,20380.77469474631,1011206.80615707,4699154.376306522,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG31,Severozapaden,Thousand heads (animals),2006,44671.95663404704,59573.128327548584,,297026.91368148325,115653.62513836622,1668583.7837837841,6732783.134592342,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG32,Severen tsentralen,Thousand heads (animals),2006,65952.39160347443,24294.701338456925,,229964.48013191525,153059.17537451012,1296086.4864864864,9270404.86107149,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG33,Severoiztochen,Thousand heads (animals),2006,9265.88874880688,12603.980227231361,,286377.7323314942,512883.6202773279,1865548.108108108,7015777.714383522,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG34,Yugoiztochen,Thousand heads (animals),2006,62316.90951294879,54414.11023773725,,32711.7997695894,587800.4645560579,1272614.054054054,18472393.450105548,
BG,Bulgaria,BG4,Yugozapadna i yuzhna tsentralna Bulgaria,BG41,Yugozapaden,Thousand heads (animals),2006,51790.74167656443,5809.148926166067,,39047.06930854225,565359.5734600507,425565.4054054053,2248407.4855936556,
BG,Bulgaria,BG4,Yugozapadna i yuzhna tsentralna Bulgaria,BG42,Yuzhen tsentralen,Thousand heads (animals),2006,113756.11182415842,7599.930942859794,,151327.00477697558,275924.5411936871,1023602.162162162,10766233.354253434,
CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH01,Région lémanique,Thousand heads (animals),2006,,0.0,,,0.0,,,
CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH02,Espace Mittelland,Thousand heads (animals),2006,,0.0,,,0.0,,,
CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH03,Nordwestschweiz,Thousand heads (animals),2006,,0.0,,,0.0,,,
