country,country_label,state,state_label,county,county_label,unit_label,year,Dairy cows,Beef cattle,excl cattle,"Fattening pigs, live weight 50 kg or over",Sheep,County Layers,County broiler,标记
AT,Austria,AT1,Ostösterreich,AT11,Burgenland (AT),Thousand heads (animals),1995,9945.79178470255,12154.878504672897,23000.0,173689.68902439027,5625.258373205742,345722.49353634025,5176056.275550145,
AT,Austria,AT1,Ostösterreich,AT12,Niederösterreich,Thousand heads (animals),1995,127486.96742209632,158013.42056074768,384000.0,1378189.9237804879,64690.47129186603,2143479.459925309,19102735.49621641,
AT,Austria,AT1,Ostösterreich,AT13,Wien,Thousand heads (animals),1995,0.0,0.0,0.0,0.0,0.0,1364.694053432922,0.0,
AT,Austria,AT2,Südösterreich,AT21,Kärnten,Thousand heads (animals),1995,39783.1671388102,72929.27102803739,154000.0,298293.16158536583,51564.868421052626,367557.598391267,7672495.955466643,
AT,Austria,AT2,Südösterreich,AT22,Steiermark,Thousand heads (animals),1995,104882.89518413598,109393.90654205607,264000.0,1453707.1798780488,62815.38516746412,1569853.059465671,14486677.220144385,
AT,Austria,AT3,Westösterreich,AT31,Oberösterreich,Thousand heads (animals),1995,200724.16147308782,170168.29906542055,444000.0,1521672.7103658537,58127.66985645933,1391533.0364837695,13424251.108984949,
AT,Austria,AT3,Westösterreich,AT32,Salzburg,Thousand heads (animals),1995,63291.402266288955,48619.51401869159,97000.0,45310.35365853658,33751.55023923445,148296.7538063775,172709.6633904497,
AT,Austria,AT3,Westösterreich,AT33,Tirol,Thousand heads (animals),1995,67812.21671388102,54696.95327102803,113000.0,56637.94207317073,100317.10765550239,190147.37144498713,57569.887796816576,
AT,Austria,AT3,Westösterreich,AT34,Vorarlberg,Thousand heads (animals),1995,24412.39801699717,24309.757009345794,34000.0,26431.039634146342,15000.68899521531,176045.5328928469,78504.39245020442,
BE,Belgium,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Thousand heads (animals),1995,100.0,0.0,300.0,0.0,100.0,,,
BE,Belgium,BE2,Vlaams Gewest,BE21,Prov. Antwerpen,Thousand heads (animals),1995,89200.0,121900.0,157400.00000000003,426100.0,12600.0,,,
BE,Belgium,BE2,Vlaams Gewest,BE22,Prov. Limburg (BE),Thousand heads (animals),1995,45700.0,26300.0,110900.0,203700.0,12200.0,,,
BE,Belgium,BE2,Vlaams Gewest,BE23,Prov. Oost-Vlaanderen,Thousand heads (animals),1995,103500.0,31900.0,304400.00000000006,498900.0,16000.0,,,
BE,Belgium,BE2,Vlaams Gewest,BE24,Prov. Vlaams-Brabant,Thousand heads (animals),1995,25600.0,21400.0,101300.0,78800.0,12100.0,,,
BE,Belgium,BE2,Vlaams Gewest,BE25,Prov. West-Vlaanderen,Thousand heads (animals),1995,112000.0,57000.0,370000.0,1438800.0,26200.0,,,
BE,Belgium,BE3,Région wallonne,BE31,Prov. Brabant wallon,Thousand heads (animals),1995,13900.0,1100.0,60700.0,7400.0,4900.0,,,
BE,Belgium,BE3,Région wallonne,BE32,Prov. Hainaut,Thousand heads (animals),1995,101900.0,5300.000000000001,298999.99999999994,43900.0,11900.0,,,
BE,Belgium,BE3,Région wallonne,BE33,Prov. Liège,Thousand heads (animals),1995,101500.0,4300.0,218500.0,31600.0,10600.0,,,
BE,Belgium,BE3,Région wallonne,BE34,Prov. Luxembourg (BE),Thousand heads (animals),1995,40700.0,1400.0,341700.00000000006,5900.0,10300.0,,,
BE,Belgium,BE3,Région wallonne,BE35,Prov. Namur,Thousand heads (animals),1995,49700.0,1900.0,238200.0,8800.0,10400.0,,,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG31,Severozapaden,Thousand heads (animals),1995,42669.276557362486,18243.88845975993,,492785.13683070114,0.0,714404.608636433,9379651.854759255,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG32,Severen tsentralen,Thousand heads (animals),1995,7709.91431874458,78412.94523848374,,17211.45386502034,0.0,1363602.4800148099,6097279.300974003,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG33,Severoiztochen,Thousand heads (animals),1995,65321.55971166362,47302.759899804434,,722761.9750352012,0.0,1220850.1432002552,14237784.658715427,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG34,Yugoiztochen,Thousand heads (animals),1995,72279.30903284345,83288.74730261529,,423956.84752182255,0.0,2026933.6278241307,18335598.527098946,
BG,Bulgaria,BG4,Yugozapadna i yuzhna tsentralna Bulgaria,BG41,Yugozapaden,Thousand heads (animals),1995,100425.71577005391,94256.38842883504,,584816.470187253,4193046.0,3559356.4883412966,12941441.861879762,
BG,Bulgaria,BG4,Yugozapadna i yuzhna tsentralna Bulgaria,BG42,Yuzhen tsentralen,Thousand heads (animals),1995,62127.22460933195,90589.2706705016,,240821.1165600016,0.0,2746852.651983076,2008243.7965726012,
CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH01,Région lémanique,Thousand heads (animals),1995,,0.0,,,0.0,,,
CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH02,Espace Mittelland,Thousand heads (animals),1995,,0.0,,,0.0,,,
CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH03,Nordwestschweiz,Thousand heads (animals),1995,,0.0,,,0.0,,,
CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH04,Zürich,Thousand heads (animals),1995,,0.0,,,0.0,,,
CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH05,Ostschweiz,Thousand heads (animals),1995,,0.0,,,0.0,,,
CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH06,Zentralschweiz,Thousand heads (animals),1995,,0.0,,,0.0,,,
CH,Switzerland,CH0,Schweiz/Suisse/Svizzera,CH07,Ticino,Thousand heads (animals),1995,,0.0,,,0.0,,,
CY,Cyprus,CY0,Kypros,CY00,Kypros,Thousand heads (animals),1995,21783.0,16800.0,38600.0,550000.0,473000.0,1080000.0,15200000.0,
CZ,Czechia,CZ0,Cesko,CZ01,Praha,Thousand heads (animals),1995,413.4681269306375,31282.266670510595,1200.0000000000002,3151.9892265981734,238.47845804988663,1689886.089194605,7473857.528665055,
CZ,Czechia,CZ0,Cesko,CZ02,Strední Cechy,Thousand heads (animals),1995,94890.93513058129,111038.65247621418,163700.0,874451.868293379,27901.979591836738,2651001.576760357,38406762.357935876,
CZ,Czechia,CZ0,Cesko,CZ03,Jihozápad,Thousand heads (animals),1995,167764.69250210613,1025.7503951472243,306500.0,1150476.0677083333,51630.58616780045,974870.9081341993,30356917.760069888,
CZ,Czechia,CZ0,Cesko,CZ04,Severozápad,Thousand heads (animals),1995,35764.99297950014,137112.48646622963,80199.99999999999,396700.3583761415,14308.707482993199,884986.6162503574,22125125.144321963,
CZ,Czechia,CZ0,Cesko,CZ05,Severovýchod,Thousand heads (animals),1995,149572.0949171581,116201.1943804226,229000.0,1039255.8764269407,42806.883219954645,491412.79770480166,3786641.430835253,
CZ,Czechia,CZ0,Cesko,CZ06,Jihovýchod,Thousand heads (animals),1995,163319.9101376018,174014.77210986856,274200.0,1739898.0530821916,32433.070294784586,456315.6268891038,16451957.960778285,
CZ,Czechia,CZ0,Cesko,CZ07,Strední Morava,Thousand heads (animals),1995,80109.44959281101,66082.9070864554,149400.0,747471.7308789954,24324.802721088436,1723399.77750285,1482948.6258525408,
CZ,Czechia,CZ0,Cesko,CZ08,Moravskoslezsko,Thousand heads (animals),1995,44241.089581578206,115514.97041515182,72500.0,359777.0560074201,16693.492063492064,2028126.607563727,2215789.1915411483,
DE,Germany,DE1,Baden-Württemberg,DE11,Stuttgart,Thousand heads (animals),1995,,0.0,,,0.0,1270754.2141775303,12400314.861951657,
DE,Germany,DE1,Baden-Württemberg,DE12,Karlsruhe,Thousand heads (animals),1995,,0.0,,,0.0,1627384.4927399491,12995162.590103067,
DE,Germany,DE1,Baden-Württemberg,DE13,Freiburg,Thousand heads (animals),1995,,0.0,,,0.0,537904.113416074,1877535.7686926601,
DE,Germany,DE1,Baden-Württemberg,DE14,Tübingen,Thousand heads (animals),1995,,0.0,,,0.0,1849065.4229712642,3715462.660551004,
DE,Germany,DE2,Bayern,DE21,Oberbayern,Thousand heads (animals),1995,,0.0,,,0.0,725946.6462395911,11741902.144488018,
DE,Germany,DE2,Bayern,DE22,Niederbayern,Thousand heads (animals),1995,,0.0,,,0.0,1424396.85229741,11697022.456665277,
DE,Germany,DE2,Bayern,DE23,Oberpfalz,Thousand heads (animals),1995,,0.0,,,0.0,864166.5768134106,8933176.439450908,
DE,Germany,DE2,Bayern,DE24,Oberfranken,Thousand heads (animals),1995,,0.0,,,0.0,1297303.2570648699,4284176.489721577,
DE,Germany,DE2,Bayern,DE25,Mittelfranken,Thousand heads (animals),1995,,0.0,,,0.0,2369987.3579866514,11180841.228899343,
