country,country_label,state,state_label,county,county_label,unit_label,year,Dairy cows,Beef cattle,excl cattle,"Fattening pigs, live weight 50 kg or over",Sheep,County Layers,County broiler,标记
AT,Austria,AT1,Ostösterreich,AT11,Burgenland (AT),Thousand heads (animals),2004,5529.008179959101,7170.95744680851,15900.0,156879.24018973694,6159.520125457397,328352.73279352224,4617845.844840573,
AT,Austria,AT1,Ostösterreich,AT12,Niederösterreich,Thousand heads (animals),2004,108670.14259155976,156457.25338491294,327500.0,1378861.4523501508,70933.82854155776,1961726.431463273,19515646.246547826,
AT,Austria,AT1,Ostösterreich,AT13,Wien,Thousand heads (animals),2004,0.0,0.0,100.0,465.51703320396723,397.38839519079977,762.7241179872758,0.0,
AT,Austria,AT2,Südösterreich,AT21,Kärnten,Thousand heads (animals),2004,33877.74102993121,61279.09090909091,153100.0,291879.17981888744,50468.32618923157,298225.1301330249,9041532.262113985,
AT,Austria,AT2,Südösterreich,AT22,Steiermark,Thousand heads (animals),2004,81728.79364194088,109520.07736943907,241900.0,1576240.6744286332,60999.118661787776,1591805.2342394446,16797414.26060758,
AT,Austria,AT3,Westösterreich,AT31,Oberösterreich,Thousand heads (animals),2004,173811.91169362335,201438.71373307545,403600.0,1904430.18283743,57124.581808677474,875225.9253903992,12431450.916394679,
AT,Austria,AT3,Westösterreich,AT32,Salzburg,Thousand heads (animals),2004,58305.90444320506,52804.323017408125,106300.0,25603.436826218196,33778.01359121798,78560.58415268941,141683.90660306302,
AT,Austria,AT3,Westösterreich,AT33,Tirol,Thousand heads (animals),2004,55993.77374976761,64538.617021276594,123499.99999999996,37706.879689521345,85438.50496602195,61780.65355696935,99703.48983178509,
AT,Austria,AT3,Westösterreich,AT34,Vorarlberg,Thousand heads (animals),2004,22819.724670013013,20860.967117988395,38000.0,25603.436826218196,14504.67642446419,78560.58415268941,57723.073060507166,
BE,Belgium,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Thousand heads (animals),2004,95.44037988040802,0.0,199.9999999999999,0.0,0.0,1881799.2132289615,3344215.5746186264,
BE,Belgium,BE2,Vlaams Gewest,BE21,Prov. Antwerpen,Thousand heads (animals),2004,75779.66162504397,454641.30511022045,131299.99999999994,1679052.1958702065,19092.195232690123,1610727.843971922,30014004.65330676,
BE,Belgium,BE2,Vlaams Gewest,BE22,Prov. Limburg (BE),Thousand heads (animals),2004,37317.18853323954,93292.22695390781,87900.0,879698.7334808259,14693.99318955732,2015199.9572535625,41516958.035316475,
