country,country_label,state,state_label,county,county_label,unit_label,year,Dairy cows,Beef cattle,excl cattle,"Fattening pigs, live weight 50 kg or over",Sheep,County Layers,County broiler,标记
AT,Austria,AT1,Ostösterreich,AT11,Burgenland (AT),Thousand heads (animals),2018,3689.9307536405945,6588.513438073212,13130.0,77005.11422668492,7490.0,433872.2327640733,4386522.51988484,
AT,Austria,AT1,Ostösterreich,AT12,Niederösterreich,Thousand heads (animals),2018,102088.08418405644,163771.61974639125,267780.0,1334930.523988879,97010.0,2228049.1953053623,25992968.525838096,
AT,Austria,AT1,Ostösterreich,AT13,Wien,Thousand heads (animals),2018,29.99943702146825,0.0,50.0,175.21072634058,360.0,786.0004216740458,4181.622993217196,
AT,Austria,AT2,Südösterreich,AT21,Kärnten,Thousand heads (animals),2018,34349.35538958115,63504.41103756281,128340.0,240870.94603671238,54010.00000000001,517712.27774263837,14066979.749182647,
AT,Austria,AT2,Südösterreich,AT22,Steiermark,Thousand heads (animals),2018,81258.47507881699,112419.97089082064,197850.0,1500723.6737886532,82330.0,2717203.457727177,19197831.16186015,
AT,Austria,AT3,Westösterreich,AT31,Oberösterreich,Thousand heads (animals),2018,162936.94227593453,204576.1105351304,316410.0,1943481.1792512985,94720.0,1195506.6413662243,20924841.45805884,
AT,Austria,AT3,Westösterreich,AT32,Salzburg,Thousand heads (animals),2018,59228.888492718805,54867.368211181114,83730.00000000001,23872.46146390403,41700.0,106634.05720711227,585427.2190504074,
AT,Austria,AT3,Westösterreich,AT33,Tirol,Thousand heads (animals),2018,63768.803295301004,65912.81721030385,91209.99999999999,21901.340792572504,103050.0,111612.05987771455,196536.28068120827,
AT,Austria,AT3,Westösterreich,AT34,Vorarlberg,Thousand heads (animals),2018,25519.52109292899,22561.50610096499,30670.000000000007,9023.35240653987,17200.0,144624.07758802443,338711.46245059284,
BE,Belgium,BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,Thousand heads (animals),2018,210.0,129.24711361210825,459.9999999999999,0.0,0.0,1481344.1004792782,46381280.95846717,
BE,Belgium,BE2,Vlaams Gewest,BE21,Prov. Antwerpen,Thousand heads (animals),2018,88730.0,497902.96400504507,136690.0,1633115.045808497,0.0,1629694.0626386623,18167466.496251795,
BE,Belgium,BE2,Vlaams Gewest,BE22,Prov. Limburg (BE),Thousand heads (animals),2018,40320.0,96849.17046667314,68770.0,700965.441002965,0.0,1167767.2196343252,45337324.47118154,
BE,Belgium,BE2,Vlaams Gewest,BE23,Prov. Oost-Vlaanderen,Thousand heads (animals),2018,85350.0,59884.49597361017,216070.0,1746767.4699141283,0.0,1596281.842225239,18099408.900574002,
BE,Belgium,BE2,Vlaams Gewest,BE24,Prov. Vlaams-Brabant,Thousand heads (animals),2018,18410.0,28434.364994663825,74510.0,267557.54860420024,0.0,1227264.5966025188,15336359.839877687,
BE,Belgium,BE2,Vlaams Gewest,BE25,Prov. West-Vlaanderen,Thousand heads (animals),2018,97880.0,84699.94178713496,278540.0,5999265.539288609,0.0,1947722.9988480925,12031836.91161299,
BE,Belgium,BE3,Région wallonne,BE31,Prov. Brabant wallon,Thousand heads (animals),2018,7210.0,7754.826816726495,38210.0,57498.370694873345,0.0,662705.215343328,7174907.270055379,
BE,Belgium,BE3,Région wallonne,BE32,Prov. Hainaut,Thousand heads (animals),2018,58960.0,36146.10944018628,216910.0,341418.1811000195,0.0,412158.1318305944,50272266.381761126,
BE,Belgium,BE3,Région wallonne,BE33,Prov. Liège,Thousand heads (animals),2018,75130.0,27012.646744930633,164019.99999999997,216972.80965620544,0.0,1604429.4748062647,37055783.55343727,
BE,Belgium,BE3,Région wallonne,BE34,Prov. Luxembourg (BE),Thousand heads (animals),2018,27950.0,24126.12787426021,282180.0,68099.2727067538,0.0,1799508.9510866494,35172056.43063899,
BE,Belgium,BE3,Région wallonne,BE35,Prov. Namur,Thousand heads (animals),2018,29090.0,25332.434267973225,186300.0,199688.73028900905,0.0,1613123.4065050476,19926308.786142092,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG31,Severozapaden,Thousand heads (animals),2018,39528.382370994805,15840.488571428576,22790.000000000004,47344.100433526015,166640.0,566270.0004024679,4567876.28421582,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG32,Severen tsentralen,Thousand heads (animals),2018,34158.60211973646,17999.045714285716,19300.000000000004,396468.6604046243,147820.0,611163.2711248237,21045519.074646167,
BG,Bulgaria,BG3,Severna i yugoiztochna Bulgaria,BG33,Severoiztochen,Thousand heads (animals),2018,34868.573065433564,12021.502857142857,29420.0,386563.4891618497,241430.0,1915031.8549898562,8503277.390617142,
