Level,Code.,Municipality,Horse,Pork - total,Sheep_Goat,beef_cattle,milk_cattle,excl_cattle,Layers,Broilers,标记
MU,1100015,Alta Floresta D'Oeste (RO),47.0,36591.0,2457.0,16804.0,14396.0,76533.0,45680,727515.0,
MU,1100023,Ariquemes (RO),22.0,8174.0,4354.0,,,,48675,775214.0,
MU,1100031,Cabixi (RO),67.0,12118.0,3382.0,14436.0,12368.0,65750.0,21375,340425.0,
MU,1100049,Cacoal (RO),95.0,58449.0,4251.0,41224.0,35317.0,187751.0,89775,1429786.0,
MU,1100056,Cerejeiras (RO),62.0,7981.0,1865.0,39248.0,33624.0,178753.0,41250,656961.0,
MU,1100064,Colorado do Oeste (RO),68.0,56437.0,3372.0,20801.0,17821.0,94739.0,33705,536797.0,
MU,1100072,Corumbiara (RO),102.0,13394.0,2127.0,,,,43500,692795.0,
MU,1100080,Costa Marques (RO),30.0,15038.0,7203.0,14053.0,12039.0,64003.0,14722,234467.0,
MU,1100098,Espigão D'Oeste (RO),46.0,34007.0,1762.0,44648.0,38251.0,203349.0,43157,687332.0,
MU,1100106,Guajará-Mirim (RO),27.0,2395.0,1079.0,10901.0,9339.0,49648.0,27060,430966.0,
MU,1100114,Jaru (RO),133.0,47876.0,5068.0,,,,85302,1358547.0,
MU,1100122,Ji-Paraná (RO),165.0,51825.0,6294.0,56291.0,48226.0,256377.0,182527,2906985.0,
MU,1100130,Machadinho D'Oeste (RO),15.0,13426.0,391.0,,,,30963,493127.0,
MU,1100148,Nova Brasilândia D'Oeste (RO),17.0,9710.0,1137.0,,,,32187,512621.0,
MU,1100155,Ouro Preto do Oeste (RO),129.0,63095.0,8409.0,53204.0,45581.0,242317.0,205356,3270567.0,
MU,1100189,Pimenta Bueno (RO),209.0,52299.0,9235.0,70376.0,60292.0,320525.0,74405,1184998.0,
MU,1100205,Porto Velho (RO),32.0,7551.0,3064.0,9823.0,8416.0,44740.0,75043,1195159.0,
MU,1100254,Presidente Médici (RO),63.0,22039.0,2831.0,21027.0,18014.0,95765.0,100413,1599210.0,
MU,1100262,Rio Crespo (RO),6.0,5003.0,901.0,,,,13250,211024.0,
