Level,Code.,Municipality,Horse,Pork - total,Sheep_Goat,beef_cattle,milk_cattle,excl_cattle,Layers,Broilers,标记
MU,1100015,Alta Floresta D'Oeste (RO),,12086.0,,,,,55790,485803.0,
MU,1100023,Ariquemes (RO),52.0,25607.0,4010.0,74625.0,59806.0,300414.0,268466,2337725.0,
MU,1100031,Cabixi (RO),9.0,4114.0,401.0,,,,35400,308253.0,
MU,1100049,Cacoal (RO),52.0,38648.0,4145.0,40580.0,32522.0,163362.0,268709,2339841.0,
MU,1100056,Cerejeiras (RO),20.0,9547.0,3909.0,18698.0,14985.0,75270.0,98600,858581.0,
MU,1100064,Colorado do Oeste (RO),18.0,15239.0,1594.0,19057.0,15272.0,76716.0,115600,1006612.0,
MU,1100072,Corumbiara (RO),,,,,,,...,,
MU,1100080,Costa Marques (RO),38.0,14370.0,4827.0,10367.0,8308.0,41732.0,88965,774682.0,
MU,1100098,Espigão D'Oeste (RO),12.0,17495.0,438.0,13626.0,10920.0,54852.0,46296,403132.0,
MU,1100106,Guajará-Mirim (RO),7.0,1319.0,3709.0,2708.0,2170.0,10900.0,8000,69662.0,
MU,1100114,Jaru (RO),31.0,27147.0,3370.0,28339.0,22711.0,114081.0,160539,1397928.0,
MU,1100122,Ji-Paraná (RO),44.0,18192.0,1494.0,24930.0,19980.0,100360.0,162659,1416388.0,
MU,1100130,Machadinho D'Oeste (RO),1.0,6971.0,108.0,996.0,798.0,4008.0,30521,265768.0,
MU,1100148,Nova Brasilândia D'Oeste (RO),0.0,669.0,,,,,4842,42163.0,
MU,1100155,Ouro Preto do Oeste (RO),50.0,33148.0,2423.0,40777.0,32679.0,164152.0,334981,2916919.0,
MU,1100189,Pimenta Bueno (RO),88.0,18383.0,11177.0,23719.0,19009.0,95483.0,72724,633260.0,
MU,1100205,Porto Velho (RO),32.0,8442.0,3754.0,15650.0,12542.0,63000.0,198301,1726749.0,
MU,1100254,Presidente Médici (RO),24.0,15395.0,1849.0,13957.0,11185.0,56184.0,111694,972600.0,
MU,1100262,Rio Crespo (RO),,,,,,,...,,
MU,1100288,Rolim de Moura (RO),35.0,23113.0,1028.0,14429.0,11563.0,58084.0,152704,1329703.0,
MU,1100296,Santa Luzia D'Oeste (RO),,8370.0,,,,,45285,394329.0,
MU,1100304,Vilhena (RO),15.0,6291.0,761.0,30031.0,24067.0,120894.0,69950,609105.0,
MU,1100320,São Miguel do Guaporé (RO),,2536.0,,,,,15700,136711.0,
MU,1100338,Nova Mamoré (RO),,3398.0,1754.0,6970.0,5586.0,28060.0,22815,198667.0,
MU,1100346,Alvorada D'Oeste (RO),5.0,17518.0,380.0,,,,77628,675962.0,
MU,1100379,Alto Alegre dos Parecis (RO),,,,,,,...,,
MU,1100403,Alto Paraíso (RO),,,,,,,...,,
MU,1100452,Buritis (RO),,,,,,,...,,
MU,1100502,Novo Horizonte do Oeste (RO),,,,,,,...,,
MU,1100601,Cacaulândia (RO),,,,,,,...,,
MU,1100700,Campo Novo de Rondônia (RO),,,,,,,...,,
MU,1100809,Candeias do Jamari (RO),,,,,,,...,,
MU,1100908,Castanheiras (RO),,,,,,,...,,
MU,1100924,Chupinguaia (RO),,,,,,,...,,
MU,1100940,Cujubim (RO),,,,,,,...,,
MU,1101005,Governador Jorge Teixeira (RO),,,,,,,...,,
MU,1101104,Itapuã do Oeste (RO),,,,,,,...,,
