Level,Code.,Municipality,Horse,Pork - total,Sheep_Goat,beef_cattle,milk_cattle,excl_cattle,Layers,Broilers,标记
MU,1100015,Alta Floresta D'Oeste (RO),51.0,27265.0,1198.0,15301.0,12158.0,63848.0,41829,482583.0,
MU,1100023,Ariquemes (RO),6.0,12071.0,1212.0,25269.0,20078.0,105438.0,74625,860952.0,
MU,1100031,Cabixi (RO),94.0,9997.0,2677.0,15637.0,12425.0,65250.0,28475,328517.0,
MU,1100049,Cacoal (RO),139.0,46063.0,4183.0,40091.0,31855.0,167286.0,131140,1512968.0,
MU,1100056,Cerejeiras (RO),24.0,6142.0,1848.0,34697.0,27569.0,144778.0,40000,461482.0,
MU,1100064,Colorado do Oeste (RO),92.0,46598.0,3030.0,11012.0,8750.0,45950.0,87500,1009491.0,
MU,1100072,Corumbiara (RO),159.0,10689.0,2020.0,,,,38500,444176.0,
MU,1100080,Costa Marques (RO),8.0,23209.0,7748.0,13664.0,10857.0,57015.0,13361,154146.0,
MU,1100098,Espigão D'Oeste (RO),58.0,25465.0,1509.0,30839.0,24504.0,128683.0,37502,432662.0,
MU,1100106,Guajará-Mirim (RO),37.0,2106.0,808.0,10807.0,8587.0,45095.0,24000,276889.0,
MU,1100114,Jaru (RO),206.0,23918.0,2917.0,32132.0,25531.0,134077.0,80634,930278.0,
MU,1100122,Ji-Paraná (RO),197.0,35948.0,4436.0,41119.0,32672.0,171578.0,131267,1514433.0,
MU,1100130,Machadinho D'Oeste (RO),6.0,12677.0,338.0,,,,30193,348338.0,
MU,1100148,Nova Brasilândia D'Oeste (RO),21.0,6777.0,1023.0,,,,29730,342996.0,
MU,1100155,Ouro Preto do Oeste (RO),164.0,45876.0,3771.0,51709.0,41086.0,215763.0,184607,2129819.0,
MU,1100189,Pimenta Bueno (RO),285.0,50116.0,14476.0,58577.0,46543.0,244422.0,71117,820480.0,
MU,1100205,Porto Velho (RO),43.0,5891.0,2833.0,10713.0,8512.0,44700.0,85875,990744.0,
MU,1100254,Presidente Médici (RO),78.0,15906.0,2399.0,19318.0,15350.0,80608.0,74991,865174.0,
MU,1100262,Rio Crespo (RO),20.0,5787.0,1024.0,,,,13511,155877.0,
MU,1100288,Rolim de Moura (RO),123.0,25398.0,5404.0,20745.0,16483.0,86560.0,63546,733133.0,
MU,1100296,Santa Luzia D'Oeste (RO),17.0,16903.0,958.0,11150.0,8860.0,46526.0,29387,339039.0,
MU,1100304,Vilhena (RO),118.0,19746.0,4374.0,113357.0,90069.0,473000.0,30000,346111.0,
MU,1100320,São Miguel do Guaporé (RO),16.0,3624.0,400.0,,,,10146,117055.0,
MU,1100338,Nova Mamoré (RO),29.0,8517.0,3305.0,8668.0,6888.0,36170.0,14525,167576.0,
MU,1100346,Alvorada D'Oeste (RO),29.0,26262.0,523.0,14030.0,11148.0,58544.0,56882,656250.0,
MU,1100379,Alto Alegre dos Parecis (RO),,,,,,,...,,
MU,1100403,Alto Paraíso (RO),9.0,6877.0,374.0,,,,35500,409565.0,
MU,1100452,Buritis (RO),,,,,,,...,,
MU,1100502,Novo Horizonte do Oeste (RO),14.0,10885.0,404.0,5350.0,4251.0,22325.0,34217,394763.0,
MU,1100601,Cacaulândia (RO),79.0,12141.0,16162.0,17116.0,13600.0,71420.0,49250,568199.0,
MU,1100700,Campo Novo de Rondônia (RO),7.0,3291.0,404.0,,,,22500,259583.0,
