Level,Code.,Municipality,Horse,Pork - total,Sheep_Goat,beef_cattle,milk_cattle,excl_cattle,Layers,Broilers,标记
MU,1100015,Alta Floresta D'Oeste (RO),12.0,11427.0,707.0,7794.0,6607.0,33435.0,27593,276707.0,
MU,1100023,Ariquemes (RO),42.0,24011.0,3663.0,65964.0,55917.0,282990.0,120959,1212998.0,
MU,1100031,Cabixi (RO),10.0,4584.0,447.0,,,,15969,160140.0,
MU,1100049,Cacoal (RO),41.0,36224.0,3822.0,41871.0,35493.0,179628.0,115343,1156680.0,
MU,1100056,Cerejeiras (RO),15.0,9019.0,3582.0,18257.0,15476.0,78324.0,38749,388582.0,
MU,1100064,Colorado do Oeste (RO),15.0,14396.0,1500.0,18777.0,15917.0,80552.0,44893,450195.0,
MU,1100072,Corumbiara (RO),,,,,,,...,,
MU,1100080,Costa Marques (RO),2.0,13137.0,4356.0,8352.0,7080.0,35832.0,7498,75191.0,
MU,1100098,Espigão D'Oeste (RO),12.0,16111.0,530.0,14309.0,12129.0,61384.0,28429,285091.0,
MU,1100106,Guajará-Mirim (RO),6.0,1361.0,3418.0,2743.0,2325.0,11768.0,4394,44064.0,
MU,1100114,Jaru (RO),26.0,25949.0,3102.0,,,,72961,731666.0,
MU,1100122,Ji-Paraná (RO),35.0,17002.0,1497.0,25713.0,21797.0,110311.0,64679,648612.0,
MU,1100130,Machadinho D'Oeste (RO),1.0,7298.0,216.0,,,,20995,210541.0,
MU,1100148,Nova Brasilândia D'Oeste (RO),5.0,3026.0,596.0,,,,17977,180276.0,
MU,1100155,Ouro Preto do Oeste (RO),40.0,30976.0,2364.0,42071.0,35663.0,180488.0,143720,1441249.0,
MU,1100189,Pimenta Bueno (RO),70.0,19639.0,10078.0,24773.0,20999.0,106276.0,37694,378002.0,
MU,1100205,Porto Velho (RO),29.0,8992.0,3997.0,14981.0,12699.0,64269.0,100566,1008493.0,
MU,1100254,Presidente Médici (RO),19.0,14074.0,1898.0,12441.0,10546.0,53371.0,47826,479607.0,
MU,1100262,Rio Crespo (RO),,,,,,,...,,
MU,1100288,Rolim de Moura (RO),31.0,23515.0,1020.0,14881.0,12615.0,63842.0,79484,797079.0,
MU,1100296,Santa Luzia D'Oeste (RO),4.0,7907.0,561.0,,,,19385,194396.0,
