Level,Code.,Municipality,Horse,Pork - total,Sheep_Goat,beef_cattle,milk_cattle,excl_cattle,Layers,Broilers,标记
MU,1100015,Alta Floresta D'Oeste (RO),160.0,11295.0,4823.0,95094.0,49744.0,364658.0,48348,1216880.0,
MU,1100023,Ariquemes (RO),145.0,5161.0,4504.0,118016.0,61735.0,452560.0,36732,924515.0,
MU,1100031,Cabixi (RO),61.0,4807.0,2364.0,32585.0,17045.0,124953.0,18642,469204.0,
MU,1100049,Cacoal (RO),147.0,11307.0,3304.0,110294.0,57695.0,422946.0,95369,2400361.0,
MU,1100056,Cerejeiras (RO),46.0,6082.0,2371.0,24147.0,12631.0,92597.0,15766,396817.0,
MU,1100064,Colorado do Oeste (RO),10.0,3420.0,3227.0,57839.0,30256.0,221797.0,3645,91742.0,
MU,1100072,Corumbiara (RO),17.0,5630.0,5004.0,73580.0,38490.0,282160.0,1253,31537.0,
MU,1100080,Costa Marques (RO),39.0,2800.0,1898.0,24762.0,12953.0,94955.0,12474,313960.0,
MU,1100098,Espigão D'Oeste (RO),121.0,13610.0,3186.0,101624.0,53160.0,389701.0,67064,1687947.0,
MU,1100106,Guajará-Mirim (RO),47.0,1560.0,5163.0,30199.0,15797.0,115803.0,7415,186630.0,
MU,1100114,Jaru (RO),226.0,10678.0,2953.0,137038.0,71685.0,525501.0,54142,1362710.0,
MU,1100122,Ji-Paraná (RO),205.0,7764.0,5738.0,129846.0,67923.0,497924.0,41724,1050159.0,
MU,1100130,Machadinho D'Oeste (RO),99.0,8438.0,2429.0,,,,40774,1026249.0,
MU,1100148,Nova Brasilândia D'Oeste (RO),87.0,6920.0,1970.0,52195.0,27303.0,200153.0,33749,849435.0,
MU,1100155,Ouro Preto do Oeste (RO),171.0,8208.0,2242.0,93941.0,49141.0,360237.0,48438,1219145.0,
MU,1100189,Pimenta Bueno (RO),83.0,3895.0,3323.0,77834.0,40715.0,298473.0,36806,926377.0,
MU,1100205,Porto Velho (RO),171.0,5694.0,11539.0,140804.0,73655.0,539944.0,39461,993201.0,
MU,1100254,Presidente Médici (RO),107.0,5990.0,1743.0,74713.0,39083.0,286505.0,41028,1032642.0,
MU,1100262,Rio Crespo (RO),37.0,1933.0,1321.0,35681.0,18665.0,136827.0,8404,211522.0,
MU,1100288,Rolim de Moura (RO),93.0,8579.0,3130.0,64057.0,33508.0,245641.0,145086,3651697.0,
MU,1100296,Santa Luzia D'Oeste (RO),58.0,3878.0,1200.0,,,,20812,523821.0,
MU,1100304,Vilhena (RO),53.0,4445.0,2729.0,30370.0,15887.0,116462.0,14394,362285.0,
MU,1100320,São Miguel do Guaporé (RO),91.0,6936.0,2967.0,58392.0,30545.0,223918.0,37220,936797.0,
MU,1100338,Nova Mamoré (RO),103.0,6838.0,2840.0,71194.0,37242.0,273008.0,28189,709494.0,
MU,1100346,Alvorada D'Oeste (RO),103.0,5262.0,1982.0,65543.0,34286.0,251340.0,26949,678285.0,
MU,1100379,Alto Alegre dos Parecis (RO),61.0,6082.0,1162.0,35421.0,18529.0,135830.0,21339,537085.0,
MU,1100403,Alto Paraíso (RO),69.0,5204.0,2009.0,,,,26186,659080.0,
MU,1100452,Buritis (RO),116.0,10776.0,1756.0,79742.0,41713.0,305788.0,48095,1210512.0,
MU,1100502,Novo Horizonte do Oeste (RO),67.0,5439.0,1174.0,34001.0,17786.0,130383.0,2467,62092.0,
MU,1100601,Cacaulândia (RO),70.0,3271.0,1639.0,64815.0,33905.0,248546.0,14140,355892.0,
MU,1100700,Campo Novo de Rondônia (RO),77.0,5740.0,1257.0,51808.0,27101.0,198669.0,24946,627871.0,
MU,1100809,Candeias do Jamari (RO),50.0,5503.0,3421.0,41309.0,21609.0,158410.0,13268,333945.0,
MU,1100908,Castanheiras (RO),41.0,1783.0,1265.0,32425.0,16962.0,124342.0,1174,29549.0,
MU,1100924,Chupinguaia (RO),69.0,1946.0,1623.0,78846.0,41245.0,302354.0,9176,230953.0,
MU,1100940,Cujubim (RO),37.0,1946.0,615.0,,,,11776,296392.0,
MU,1101005,Governador Jorge Teixeira (RO),97.0,4726.0,697.0,58012.0,30346.0,222460.0,27803,699779.0,
MU,1101104,Itapuã do Oeste (RO),32.0,1465.0,1168.0,21157.0,11067.0,81130.0,8376,210817.0,
MU,1101203,Ministro Andreazza (RO),45.0,4266.0,288.0,,,,18263,459665.0,
MU,1101302,Mirante da Serra (RO),57.0,7557.0,838.0,26984.0,14115.0,103475.0,24752,622988.0,
MU,1101401,Monte Negro (RO),88.0,4974.0,2848.0,58175.0,30432.0,223086.0,26501,667009.0,
MU,1101435,Nova União (RO),67.0,5278.0,609.0,33234.0,17385.0,127444.0,21426,539275.0,
MU,1101450,Parecis (RO),39.0,2683.0,1233.0,39447.0,20635.0,151269.0,9784,246255.0,
MU,1101468,Pimenteiras do Oeste (RO),26.0,1202.0,1555.0,28215.0,14759.0,108195.0,4570,115023.0,
MU,1101476,Primavera de Rondônia (RO),23.0,1819.0,319.0,,,,31484,792427.0,
MU,1101484,São Felipe D'Oeste (RO),25.0,2571.0,246.0,27131.0,14192.0,104038.0,14757,371422.0,
MU,1101492,São Francisco do Guaporé (RO),70.0,6038.0,2685.0,80777.0,42255.0,309757.0,26453,665801.0,
MU,1101500,Seringueiras (RO),63.0,5331.0,1542.0,47807.0,25008.0,183327.0,23540,592483.0,
MU,1101559,Teixeirópolis (RO),34.0,2471.0,307.0,23613.0,12352.0,90548.0,11262,283455.0,
MU,1101609,Theobroma (RO),81.0,3868.0,662.0,,,,23419,589437.0,
MU,1101708,Urupá (RO),90.0,7044.0,1009.0,,,,38022,956983.0,
MU,1101757,Vale do Anari (RO),47.0,2315.0,432.0,,,,14570,366715.0,
MU,1101807,Vale do Paraíso (RO),73.0,3067.0,1227.0,41907.0,21922.0,160702.0,20629,519215.0,
MU,1200013,Acrelândia (AC),98.0,3564.0,1771.0,39352.0,20585.0,150903.0,14633,368301.0,
MU,1200054,Assis Brasil (AC),26.0,2740.0,2674.0,,,,5146,129521.0,
MU,1200104,Brasiléia (AC),66.0,4019.0,3383.0,,,,11739,295461.0,
MU,1200138,Bujari (AC),38.0,2407.0,2785.0,52036.0,27220.0,199544.0,7289,183458.0,
MU,1200179,Capixaba (AC),19.0,2578.0,1278.0,28471.0,14893.0,109177.0,9733,244972.0,
MU,1200203,Cruzeiro do Sul (AC),16.0,9046.0,2554.0,9603.0,5024.0,36826.0,25571,643601.0,
MU,1200252,Epitaciolândia (AC),31.0,1392.0,811.0,,,,8543,215020.0,
MU,1200302,Feijó (AC),56.0,30527.0,7734.0,15473.0,8094.0,59336.0,27860,701214.0,
MU,1200328,Jordão (AC),2.0,1740.0,467.0,1102.0,576.0,4226.0,6450,162341.0,
MU,1200336,Mâncio Lima (AC),2.0,4001.0,859.0,3677.0,1923.0,14099.0,6011,151292.0,
MU,1200344,Manoel Urbano (AC),8.0,2901.0,620.0,,,,7895,198711.0,
MU,1200351,Marechal Thaumaturgo (AC),1.0,9105.0,1399.0,,,,11287,284085.0,
MU,1200385,Plácido de Castro (AC),66.0,2387.0,1594.0,37969.0,19862.0,145601.0,10760,270821.0,
MU,1200393,Porto Walter (AC),1.0,7870.0,518.0,,,,7152,180010.0,
MU,1200401,Rio Branco (AC),149.0,12466.0,6965.0,119593.0,62559.0,458606.0,82868,2085721.0,
MU,1200427,Rodrigues Alves (AC),7.0,1783.0,505.0,3038.0,1589.0,11650.0,12768,321360.0,
MU,1200435,Santa Rosa do Purus (AC),1.0,585.0,277.0,,,,1047,26352.0,
MU,1200450,Senador Guiomard (AC),82.0,1660.0,3805.0,69227.0,36213.0,265466.0,101558,2556133.0,
MU,1200500,Sena Madureira (AC),96.0,10610.0,7419.0,46423.0,24284.0,178021.0,13264,333844.0,
MU,1200609,Tarauacá (AC),24.0,14997.0,2940.0,23968.0,12538.0,91911.0,25021,629758.0,
MU,1200708,Xapuri (AC),95.0,3736.0,1732.0,49820.0,26061.0,191044.0,16697,420250.0,
MU,1200807,Porto Acre (AC),50.0,4838.0,2695.0,34647.0,18124.0,132862.0,14611,367747.0,
MU,1300029,Alvarães (AM),,3586.0,184.0,1148.0,601.0,4403.0,20697,520927.0,
MU,1300060,Amaturá (AM),,996.0,,,,,3589,90332.0,
MU,1300086,Anamã (AM),,1687.0,,,,,10125,254838.0,
MU,1300102,Anori (AM),,532.0,,,,,4270,107472.0,
MU,1300144,Apuí (AM),12.0,3903.0,415.0,,,,36922,929297.0,
MU,1300201,Atalaia do Norte (AM),,562.0,,,,,3193,80365.0,
MU,1300300,Autazes (AM),19.0,16586.0,4682.0,16974.0,8879.0,65090.0,17217,433338.0,
MU,1300409,Barcelos (AM),0.0,89.0,,79.0,41.0,304.0,-,,
MU,1300508,Barreirinha (AM),16.0,4134.0,2051.0,9233.0,4830.0,35405.0,4434,111600.0,
MU,1300607,Benjamin Constant (AM),1.0,4255.0,819.0,864.0,452.0,3312.0,19039,479196.0,
MU,1300631,Beruri (AM),0.0,815.0,147.0,186.0,97.0,714.0,8651,217739.0,
MU,1300680,Boa Vista do Ramos (AM),3.0,2586.0,2211.0,3474.0,1817.0,13321.0,2641,66472.0,
MU,1300706,Boca do Acre (AM),43.0,4081.0,6051.0,73610.0,38506.0,282275.0,23793,598851.0,
MU,1300805,Borba (AM),0.0,2700.0,1771.0,571.0,298.0,2188.0,7622,191840.0,
MU,1300839,Caapiranga (AM),0.0,438.0,,,,,1564,39365.0,
MU,1300904,Canutama (AM),3.0,3901.0,244.0,3870.0,2025.0,14842.0,4204,105811.0,
MU,1301001,Carauari (AM),1.0,5834.0,,,,,9020,227026.0,
MU,1301100,Careiro (AM),,6295.0,4127.0,4853.0,2539.0,18610.0,34732,874176.0,
MU,1301159,Careiro da Várzea (AM),16.0,6266.0,6566.0,21205.0,11092.0,81315.0,29729,748255.0,
MU,1301209,Coari (AM),1.0,4918.0,277.0,1314.0,687.0,5037.0,22440,564797.0,
MU,1301308,Codajás (AM),1.0,768.0,,868.0,454.0,3328.0,7694,193652.0,
MU,1301407,Eirunepé (AM),4.0,8803.0,701.0,3458.0,1809.0,13261.0,12556,316024.0,
MU,1301506,Envira (AM),11.0,15025.0,6548.0,3267.0,1709.0,12529.0,20880,525533.0,
MU,1301605,Fonte Boa (AM),0.0,2347.0,148.0,814.0,426.0,3123.0,17571,442248.0,
MU,1301654,Guajará (AM),4.0,5713.0,2073.0,8215.0,4297.0,31502.0,8020,201857.0,
MU,1301704,Humaitá (AM),0.0,2366.0,84.0,4060.0,2124.0,15569.0,5765,145100.0,
MU,1301803,Ipixuna (AM),0.0,12372.0,,1683.0,880.0,6453.0,11386,286576.0,
MU,1301852,Iranduba (AM),1.0,384.0,742.0,3079.0,1611.0,11809.0,207000,5210023.0,
MU,1301902,Itacoatiara (AM),22.0,12115.0,7863.0,19998.0,10461.0,76688.0,46969,1182172.0,
MU,1301951,Itamarati (AM),0.0,2968.0,236.0,,,,13927,350531.0,
MU,1302009,Itapiranga (AM),1.0,1054.0,762.0,3363.0,1759.0,12895.0,1920,48325.0,
MU,1302108,Japurá (AM),,,,,,,872,21948.0,
MU,1302207,Juruá (AM),,1863.0,,,,,1469,36974.0,
MU,1302306,Jutaí (AM),0.0,2687.0,,,,,19906,501018.0,
MU,1302405,Lábrea (AM),2.0,6817.0,408.0,1830.0,957.0,7017.0,24970,628475.0,
MU,1302504,Manacapuru (AM),9.0,5655.0,3006.0,5190.0,2715.0,19904.0,30000,755076.0,
MU,1302553,Manaquiri (AM),1.0,9674.0,4734.0,6781.0,3547.0,26003.0,17316,435830.0,
MU,1302603,Manaus (AM),5.0,4254.0,465.0,3321.0,1737.0,12736.0,1316500,33135241.0,
MU,1302702,Manicoré (AM),0.0,1605.0,195.0,3437.0,1798.0,13180.0,52386,1318513.0,
MU,1302801,Maraã (AM),,224.0,,60.0,31.0,230.0,-,,
MU,1302900,Maués (AM),1.0,1436.0,485.0,2659.0,1391.0,10196.0,13631,343081.0,
MU,1303007,Nhamundá (AM),32.0,4298.0,2570.0,10747.0,5622.0,41212.0,502,12635.0,
MU,1303106,Nova Olinda do Norte (AM),1.0,2854.0,689.0,1629.0,852.0,6247.0,11044,277969.0,
MU,1303205,Novo Airão (AM),1.0,272.0,103.0,,,,-,,
MU,1303304,Novo Aripuanã (AM),1.0,9081.0,1506.0,,,,29560,744001.0,
MU,1303403,Parintins (AM),87.0,9081.0,8746.0,33770.0,17665.0,129497.0,29560,744001.0,
MU,1303502,Pauini (AM),2.0,7689.0,199.0,1780.0,931.0,6826.0,11706,294631.0,
MU,1303536,Presidente Figueiredo (AM),5.0,1184.0,849.0,,,,4922,123883.0,
MU,1303569,Rio Preto da Eva (AM),9.0,3834.0,650.0,,,,53000,1333967.0,
MU,1303601,Santa Isabel do Rio Negro (AM),,611.0,,,,,1335,33601.0,
MU,1303700,Santo Antônio do Içá (AM),,3004.0,,,,,12463,313684.0,
MU,1303809,São Gabriel da Cachoeira (AM),0.0,3867.0,36.0,190.0,99.0,729.0,7103,178777.0,
MU,1303908,São Paulo de Olivença (AM),0.0,4765.0,238.0,,,,14887,374694.0,
MU,1303957,São Sebastião do Uatumã (AM),0.0,1055.0,,593.0,310.0,2275.0,3199,80516.0,
MU,1304005,Silves (AM),3.0,12184.0,3778.0,7070.0,3698.0,27111.0,27528,692858.0,
MU,1304062,Tabatinga (AM),,769.0,,,,,5195,130754.0,
MU,1304104,Tapauá (AM),1.0,253.0,,443.0,231.0,1697.0,985,24792.0,
MU,1304203,Tefé (AM),1.0,383.0,601.0,468.0,245.0,1795.0,31119,783240.0,
MU,1304237,Tonantins (AM),,2573.0,,,,,7123,179280.0,
MU,1304260,Uarini (AM),0.0,1141.0,483.0,,,,6461,162618.0,
MU,1304302,Urucará (AM),7.0,10440.0,1003.0,10966.0,5736.0,42052.0,15080,379551.0,
MU,1304401,Urucurituba (AM),4.0,7789.0,501.0,8700.0,4551.0,33361.0,39224,987236.0,
MU,1400027,Amajari (RR),146.0,7414.0,,,,,9700,244141.0,
MU,1400050,Alto Alegre (RR),112.0,14471.0,,19597.0,10251.0,75150.0,46000,1157783.0,
MU,1400100,Boa Vista (RR),84.0,9826.0,,7857.0,4110.0,30130.0,270000,6795682.0,
MU,1400159,Bonfim (RR),140.0,13399.0,,,,,48000,1208121.0,
MU,1400175,Cantá (RR),73.0,7146.0,,,,,33000,830583.0,
MU,1400209,Caracaraí (RR),20.0,3573.0,,,,,26000,654399.0,
MU,1400233,Caroebe (RR),8.0,1965.0,,,,,16000,402707.0,
MU,1400282,Iracema (RR),8.0,2055.0,,,,,12000,302030.0,
MU,1400308,Mucajaí (RR),28.0,3305.0,,,,,29000,729907.0,
MU,1400407,Normandia (RR),56.0,2859.0,,,,,10000,251692.0,
