Level,Code.,Municipality,Horse,Pork - total,Sheep_Goat,beef_cattle,milk_cattle,excl_cattle,Layers,Broilers,标记
MU,1100015,Alta Floresta D'Oeste (RO),135.0,5720.0,4701.0,91853.0,52376.0,391579.0,34841,855239.0,
MU,1100023,Ariquemes (RO),174.0,5030.0,5893.0,101395.0,57817.0,432259.0,37394,917908.0,
MU,1100031,Cabixi (RO),50.0,2993.0,2412.0,28379.0,16182.0,120984.0,14901,365774.0,
MU,1100049,Cacoal (RO),170.0,9612.0,4192.0,102935.0,58694.0,438821.0,99139,2433557.0,
MU,1100056,Cerejeiras (RO),34.0,3150.0,1813.0,19538.0,11141.0,83293.0,11426,280473.0,
MU,1100064,Colorado do Oeste (RO),108.0,9352.0,3139.0,58835.0,33548.0,250820.0,28905,709529.0,
MU,1100072,Corumbiara (RO),100.0,6021.0,1960.0,64904.0,37009.0,276692.0,24002,589175.0,
MU,1100080,Costa Marques (RO),68.0,2634.0,3301.0,51731.0,29497.0,220533.0,15432,378808.0,
MU,1100098,Espigão D'Oeste (RO),136.0,7436.0,6096.0,90230.0,51450.0,384660.0,38587,947192.0,
MU,1100106,Guajará-Mirim (RO),71.0,1617.0,,,,,7957,195320.0,
MU,1100114,Jaru (RO),268.0,7698.0,3215.0,120253.0,68569.0,512650.0,52152,1280171.0,
MU,1100122,Ji-Paraná (RO),207.0,5480.0,4623.0,99662.0,56829.0,424871.0,38346,941276.0,
MU,1100130,Machadinho D'Oeste (RO),116.0,5246.0,2474.0,62823.0,35823.0,267822.0,35632,874656.0,
MU,1100148,Nova Brasilândia D'Oeste (RO),73.0,2906.0,2329.0,39647.0,22607.0,169019.0,21092,517744.0,
MU,1100155,Ouro Preto do Oeste (RO),182.0,6025.0,1934.0,83414.0,47564.0,355602.0,33151,813755.0,
MU,1100189,Pimenta Bueno (RO),99.0,2924.0,4498.0,59379.0,33859.0,253139.0,25451,624744.0,
MU,1100205,Porto Velho (RO),291.0,9093.0,9290.0,174043.0,99241.0,741963.0,51991,1276219.0,
MU,1100254,Presidente Médici (RO),142.0,5077.0,2310.0,71566.0,40808.0,305093.0,31357,769718.0,
MU,1100262,Rio Crespo (RO),35.0,1088.0,1577.0,29114.0,16601.0,124115.0,5977,146717.0,
MU,1100288,Rolim de Moura (RO),103.0,4290.0,3785.0,55336.0,31553.0,235905.0,62764,1540663.0,
MU,1100296,Santa Luzia D'Oeste (RO),60.0,2208.0,1644.0,39482.0,22513.0,168317.0,15979,392235.0,
MU,1100304,Vilhena (RO),53.0,3071.0,2788.0,26154.0,14913.0,111495.0,151000,3706585.0,
