Level,Code.,Municipality,Horse,Pork - total,Sheep_Goat,beef_cattle,milk_cattle,excl_cattle,Layers,Broilers,标记
MU,1100015,Alta Floresta D'Oeste (RO),126.0,26597.0,3359.0,74503.0,40463.0,276595.0,51059,934225.0,
MU,1100023,Ariquemes (RO),133.0,13411.0,2575.0,,,,39826,728695.0,
MU,1100031,Cabixi (RO),72.0,7029.0,2625.0,32450.0,17624.0,120472.0,15242,278882.0,
MU,1100049,Cacoal (RO),175.0,36153.0,4547.0,66125.0,35913.0,245493.0,123143,2253144.0,
MU,1100056,Cerejeiras (RO),70.0,7037.0,1072.0,26402.0,14339.0,98020.0,15558,284664.0,
MU,1100064,Colorado do Oeste (RO),145.0,6609.0,5076.0,36091.0,19601.0,133990.0,24403,446501.0,
MU,1100072,Corumbiara (RO),97.0,16478.0,989.0,,,,27707,506954.0,
MU,1100080,Costa Marques (RO),6.0,1744.0,950.0,,,,7218,132068.0,
MU,1100098,Espigão D'Oeste (RO),118.0,21054.0,1961.0,73088.0,39694.0,271342.0,38545,705257.0,
MU,1100106,Guajará-Mirim (RO),25.0,3428.0,3321.0,19150.0,10400.0,71095.0,25019,457772.0,
MU,1100114,Jaru (RO),222.0,22916.0,5921.0,,,,52168,954517.0,
MU,1100122,Ji-Paraná (RO),251.0,15968.0,5501.0,,,,70636,1292425.0,
MU,1100130,Machadinho D'Oeste (RO),37.0,10627.0,1282.0,,,,32750,599226.0,
MU,1100148,Nova Brasilândia D'Oeste (RO),44.0,11005.0,982.0,26371.0,14322.0,97902.0,30035,549550.0,
MU,1100155,Ouro Preto do Oeste (RO),233.0,20603.0,3863.0,48089.0,26117.0,178533.0,99509,1820714.0,
MU,1100189,Pimenta Bueno (RO),88.0,6889.0,2765.0,56467.0,30667.0,209635.0,17020,311414.0,
MU,1100205,Porto Velho (RO),84.0,11195.0,9356.0,74747.0,40596.0,277504.0,37105,678909.0,
MU,1100254,Presidente Médici (RO),189.0,16854.0,3243.0,42888.0,23293.0,159225.0,85589,1566020.0,
MU,1100262,Rio Crespo (RO),27.0,2000.0,1173.0,,,,7361,134684.0,
MU,1100288,Rolim de Moura (RO),112.0,13427.0,3251.0,34851.0,18928.0,129386.0,47555,870113.0,
MU,1100296,Santa Luzia D'Oeste (RO),76.0,10534.0,1339.0,28227.0,15330.0,104796.0,29034,531234.0,
MU,1100304,Vilhena (RO),48.0,8722.0,2663.0,27343.0,14850.0,101513.0,36762,672633.0,
MU,1100320,São Miguel do Guaporé (RO),64.0,21628.0,2126.0,27583.0,14981.0,102405.0,95385,1745257.0,
MU,1100338,Nova Mamoré (RO),41.0,9725.0,1906.0,30334.0,16474.0,112615.0,19403,355016.0,
MU,1100346,Alvorada D'Oeste (RO),117.0,14456.0,3662.0,43696.0,23732.0,162225.0,70964,1298426.0,
MU,1100379,Alto Alegre dos Parecis (RO),60.0,15540.0,729.0,20561.0,11167.0,76335.0,32062,586638.0,
MU,1100403,Alto Paraíso (RO),27.0,8114.0,1684.0,,,,28593,523165.0,
MU,1100452,Buritis (RO),11.0,9238.0,260.0,,,,13786,252242.0,
MU,1100502,Novo Horizonte do Oeste (RO),70.0,12455.0,1278.0,18703.0,10158.0,69435.0,37544,686942.0,
MU,1100601,Cacaulândia (RO),55.0,6975.0,1387.0,37653.0,20449.0,139788.0,12254,224211.0,
MU,1100700,Campo Novo de Rondônia (RO),17.0,6212.0,225.0,,,,10723,196198.0,
MU,1100809,Candeias do Jamari (RO),36.0,3335.0,1499.0,25642.0,13926.0,95199.0,11233,205530.0,
MU,1100908,Castanheiras (RO),34.0,3108.0,1994.0,22029.0,11964.0,81784.0,12014,219820.0,
MU,1100924,Chupinguaia (RO),67.0,4158.0,2063.0,83696.0,45455.0,310725.0,7093,129780.0,
MU,1100940,Cujubim (RO),17.0,2273.0,281.0,,,,7148,130787.0,
MU,1101005,Governador Jorge Teixeira (RO),79.0,13229.0,1163.0,,,,25192,460937.0,
MU,1101104,Itapuã do Oeste (RO),8.0,1686.0,162.0,12379.0,6723.0,45957.0,14807,270923.0,
MU,1101203,Ministro Andreazza (RO),53.0,14106.0,661.0,,,,36542,668608.0,
MU,1101302,Mirante da Serra (RO),48.0,10427.0,605.0,,,,52105,953364.0,
MU,1101401,Monte Negro (RO),35.0,7362.0,1181.0,,,,15829,289623.0,
MU,1101435,Nova União (RO),63.0,10427.0,1150.0,19572.0,10629.0,72661.0,32307,591120.0,
MU,1101450,Parecis (RO),33.0,5786.0,792.0,20709.0,11247.0,76884.0,14807,270923.0,
MU,1101468,Pimenteiras do Oeste (RO),38.0,2883.0,1507.0,23501.0,12764.0,87249.0,6187,113203.0,
MU,1101476,Primavera de Rondônia (RO),35.0,3626.0,648.0,14528.0,7890.0,53935.0,9701,177499.0,
MU,1101484,São Felipe D'Oeste (RO),37.0,5963.0,414.0,12255.0,6656.0,45496.0,21024,384676.0,
MU,1101492,São Francisco do Guaporé (RO),14.0,6077.0,545.0,34426.0,18697.0,127808.0,19077,349051.0,
MU,1101500,Seringueiras (RO),29.0,11822.0,633.0,,,,47435,867917.0,
MU,1101559,Teixeirópolis (RO),49.0,5160.0,835.0,,,,28873,528289.0,
MU,1101609,Theobroma (RO),72.0,8688.0,1359.0,43237.0,23482.0,160520.0,21174,387420.0,
MU,1101708,Urupá (RO),84.0,13948.0,683.0,,,,72699,1330172.0,
MU,1101757,Vale do Anari (RO),23.0,6903.0,112.0,,,,16823,307810.0,
MU,1101807,Vale do Paraíso (RO),84.0,8390.0,1411.0,23060.0,12524.0,85613.0,40216,735831.0,
MU,1200013,Acrelândia (AC),56.0,1909.0,1742.0,26890.0,14604.0,99830.0,17650,322942.0,
MU,1200054,Assis Brasil (AC),25.0,1335.0,1838.0,,,,2720,49768.0,
MU,1200104,Brasiléia (AC),42.0,14527.0,3370.0,,,,25748,471110.0,
MU,1200138,Bujari (AC),26.0,2344.0,2224.0,36397.0,19767.0,135127.0,7192,131592.0,
MU,1200179,Capixaba (AC),13.0,2010.0,575.0,,,,2520,46108.0,
MU,1200203,Cruzeiro do Sul (AC),7.0,9778.0,2139.0,13818.0,7505.0,51300.0,75271,1377232.0,
MU,1200252,Epitaciolândia (AC),25.0,5943.0,912.0,9121.0,4954.0,33864.0,12000,219564.0,
MU,1200302,Feijó (AC),46.0,50033.0,6907.0,15346.0,8334.0,56972.0,39551,723664.0,
MU,1200328,Jordão (AC),0.0,7679.0,435.0,804.0,437.0,2985.0,7170,131189.0,
MU,1200336,Mâncio Lima (AC),1.0,4364.0,833.0,1856.0,1008.0,6890.0,5317,97285.0,
MU,1200344,Manoel Urbano (AC),3.0,3550.0,469.0,,,,7085,129634.0,
MU,1200351,Marechal Thaumaturgo (AC),1.0,9574.0,1696.0,,,,9650,176566.0,
MU,1200385,Plácido de Castro (AC),45.0,8327.0,2531.0,35572.0,19319.0,132062.0,24304,444690.0,
MU,1200393,Porto Walter (AC),1.0,10081.0,420.0,,,,5906,108062.0,
MU,1200401,Rio Branco (AC),138.0,14363.0,6371.0,88788.0,48221.0,329629.0,138239,2529355.0,
MU,1200427,Rodrigues Alves (AC),5.0,1853.0,544.0,3425.0,1860.0,12715.0,16810,307572.0,
MU,1200435,Santa Rosa do Purus (AC),1.0,635.0,187.0,,,,676,12369.0,
MU,1200450,Senador Guiomard (AC),98.0,1347.0,2552.0,42070.0,22848.0,156188.0,19680,360084.0,
MU,1200500,Sena Madureira (AC),46.0,15359.0,8097.0,36280.0,19704.0,134693.0,26224,479820.0,
MU,1200609,Tarauacá (AC),21.0,17524.0,2762.0,20089.0,10910.0,74582.0,31563,577507.0,
MU,1200708,Xapuri (AC),52.0,9854.0,1330.0,35524.0,19293.0,131885.0,21914,400960.0,
MU,1200807,Porto Acre (AC),46.0,6360.0,2391.0,25349.0,13767.0,94109.0,19460,356059.0,
MU,1300029,Alvarães (AM),,3865.0,143.0,1053.0,572.0,3910.0,17424,318806.0,
MU,1300060,Amaturá (AM),,1009.0,,,,,2900,53061.0,
MU,1300086,Anamã (AM),,1833.0,,,,,8775,160556.0,
MU,1300102,Anori (AM),,568.0,,,,,3714,67955.0,
MU,1300144,Apuí (AM),10.0,3917.0,352.0,,,,30345,555222.0,
MU,1300201,Atalaia do Norte (AM),,497.0,,,,,2763,50555.0,
MU,1300300,Autazes (AM),17.0,18016.0,3626.0,14793.0,8034.0,54920.0,15031,275022.0,
MU,1300409,Barcelos (AM),0.0,89.0,,68.0,37.0,252.0,-,,
MU,1300508,Barreirinha (AM),14.0,4316.0,1658.0,8479.0,4605.0,31477.0,3889,71157.0,
MU,1300607,Benjamin Constant (AM),0.0,4467.0,699.0,792.0,430.0,2940.0,16781,307042.0,
MU,1300631,Beruri (AM),0.0,845.0,122.0,168.0,91.0,625.0,7516,137520.0,
MU,1300680,Boa Vista do Ramos (AM),3.0,2685.0,1839.0,3172.0,1723.0,11778.0,2294,41973.0,
MU,1300706,Boca do Acre (AM),40.0,10336.0,5344.0,27961.0,15186.0,103807.0,21385,391281.0,
MU,1300805,Borba (AM),0.0,2776.0,1476.0,514.0,279.0,1908.0,6561,120046.0,
MU,1300839,Caapiranga (AM),0.0,461.0,,,,,1379,25232.0,
MU,1300904,Canutama (AM),3.0,4310.0,216.0,,,,3817,69840.0,
MU,1301001,Carauari (AM),0.0,6194.0,,,,,7989,146175.0,
MU,1301100,Careiro (AM),,6967.0,3775.0,4703.0,2554.0,17462.0,32167,588559.0,
MU,1301159,Careiro da Várzea (AM),15.0,6898.0,5947.0,19674.0,10685.0,73042.0,27395,501246.0,
MU,1301209,Coari (AM),0.0,6970.0,,723.0,393.0,2684.0,19311,353333.0,
MU,1301308,Codajás (AM),1.0,813.0,,810.0,440.0,3009.0,6782,124090.0,
MU,1301407,Eirunepé (AM),4.0,9394.0,856.0,2864.0,1555.0,10632.0,7090,129726.0,
MU,1301506,Envira (AM),11.0,15944.0,5712.0,3043.0,1653.0,11299.0,18584,340031.0,
MU,1301605,Fonte Boa (AM),0.0,2591.0,132.0,783.0,425.0,2908.0,16191,296246.0,
MU,1301654,Guajará (AM),4.0,6131.0,1809.0,7688.0,4176.0,28543.0,7069,129341.0,
MU,1301704,Humaitá (AM),0.0,2561.0,74.0,,,,5208,95291.0,
MU,1301803,Ipixuna (AM),0.0,12914.0,,1530.0,831.0,5679.0,9786,179054.0,
MU,1301852,Iranduba (AM),1.0,393.0,673.0,2559.0,1390.0,9499.0,62002,1134449.0,
MU,1301902,Itacoatiara (AM),20.0,12879.0,6646.0,18545.0,10072.0,68851.0,50288,920118.0,
MU,1301951,Itamarati (AM),0.0,3250.0,210.0,,,,12899,236013.0,
MU,1302009,Itapiranga (AM),1.0,1153.0,646.0,3078.0,1672.0,11428.0,1675,30647.0,
MU,1302108,Japurá (AM),,,,,,,652,11930.0,
MU,1302207,Juruá (AM),,2076.0,,,,,1295,23695.0,
MU,1302306,Jutaí (AM),0.0,20692.0,,,,,17295,316446.0,
MU,1302405,Lábrea (AM),2.0,7591.0,387.0,1765.0,958.0,6552.0,16644,304535.0,
MU,1302504,Manacapuru (AM),8.0,5653.0,2693.0,6075.0,3299.0,22554.0,32698,598274.0,
MU,1302553,Manaquiri (AM),1.0,10265.0,4143.0,6312.0,3428.0,23433.0,15412,281993.0,
MU,1302603,Manaus (AM),5.0,4429.0,398.0,2204.0,1197.0,8184.0,393263,7195523.0,
