Level,Code.,Municipality,Horse,Pork - total,Sheep_Goat,beef_cattle,milk_cattle,excl_cattle,Layers,Broilers,标记
MU,1300102,Anori (AM),,142.0,,,,,2012,21090.0,
MU,1300144,Apuí (AM),1.0,1232.0,,1678.0,1408.0,7100.0,4404,46163.0,
MU,1300201,Atalaia do Norte (AM),0.0,152.0,,,,,1500,15723.0,
MU,1300300,Autazes (AM),9.0,9155.0,1769.0,9492.0,7966.0,40156.0,27258,285717.0,
MU,1300409,Barcelos (AM),,106.0,,,,,817,8564.0,
MU,1300508,Barreirinha (AM),14.0,1868.0,487.0,7291.0,6119.0,30845.0,2267,23763.0,
MU,1300607,Benjamin Constant (AM),1.0,89.0,496.0,788.0,662.0,3335.0,13474,141234.0,
MU,1300631,Beruri (AM),1.0,209.0,90.0,,,,800,8386.0,
MU,1300680,Boa Vista do Ramos (AM),1.0,1868.0,,,,,6500,68133.0,
MU,1300706,Boca do Acre (AM),13.0,6607.0,2907.0,16498.0,13845.0,69793.0,14410,151045.0,
MU,1300805,Borba (AM),0.0,3213.0,1224.0,,,,16980,177984.0,
MU,1300839,Caapiranga (AM),1.0,188.0,,,,,1700,17819.0,
MU,1300904,Canutama (AM),1.0,711.0,,,,,1988,20838.0,
MU,1301001,Carauari (AM),1.0,867.0,56.0,,,,2285,23951.0,
MU,1301100,Careiro (AM),7.0,1840.0,709.0,4032.0,3383.0,17055.0,20000,209639.0,
MU,1301159,Careiro da Várzea (AM),42.0,3388.0,3682.0,9548.0,8012.0,40391.0,19494,204335.0,
MU,1301209,Coari (AM),1.0,824.0,,,,,9910,103876.0,
MU,1301308,Codajás (AM),1.0,68.0,179.0,493.0,414.0,2086.0,485,5084.0,
MU,1301407,Eirunepé (AM),2.0,2287.0,569.0,,,,5620,58909.0,
MU,1301506,Envira (AM),1.0,1590.0,441.0,,,,7600,79663.0,
MU,1301605,Fonte Boa (AM),0.0,1195.0,,,,,8192,85868.0,
MU,1301654,Guajará (AM),5.0,910.0,1199.0,5162.0,4332.0,21838.0,3866,40523.0,
MU,1301704,Humaitá (AM),1.0,1460.0,,811.0,680.0,3430.0,10897,114222.0,
MU,1301803,Ipixuna (AM),1.0,765.0,387.0,642.0,539.0,2717.0,3248,34045.0,
MU,1301852,Iranduba (AM),1.0,694.0,285.0,,,,30000,314459.0,
MU,1301902,Itacoatiara (AM),11.0,3048.0,2224.0,10299.0,8643.0,43569.0,25195,264093.0,
MU,1301951,Itamarati (AM),0.0,425.0,182.0,101.0,85.0,427.0,839,8794.0,
MU,1302009,Itapiranga (AM),1.0,596.0,852.0,,,,2803,29381.0,
MU,1302108,Japurá (AM),0.0,806.0,,,,,1610,16876.0,
MU,1302207,Juruá (AM),1.0,256.0,,,,,-,,
MU,1302306,Jutaí (AM),,1783.0,,,,,7083,74244.0,
MU,1302405,Lábrea (AM),0.0,932.0,189.0,,,,3235,33909.0,
MU,1302504,Manacapuru (AM),1.0,822.0,72.0,2667.0,2238.0,11282.0,7264,76141.0,
MU,1302553,Manaquiri (AM),4.0,1592.0,745.0,,,,7259,76089.0,
MU,1302603,Manaus (AM),25.0,2692.0,484.0,4781.0,4012.0,20227.0,687313,7204385.0,
MU,1302702,Manicoré (AM),1.0,1832.0,,1104.0,926.0,4669.0,19143,200656.0,
MU,1302801,Maraã (AM),,797.0,,,,,7195,75418.0,
MU,1302900,Maués (AM),8.0,3289.0,2028.0,4307.0,3615.0,18222.0,31256,327624.0,
MU,1303007,Nhamundá (AM),48.0,4874.0,,13481.0,11313.0,57030.0,4148,43479.0,
MU,1303106,Nova Olinda do Norte (AM),0.0,1554.0,648.0,,,,8100,84904.0,
MU,1303205,Novo Airão (AM),0.0,326.0,,,,,1653,17327.0,
MU,1303304,Novo Aripuanã (AM),0.0,4473.0,,,,,29254,306639.0,
MU,1303403,Parintins (AM),39.0,2165.0,5866.0,26002.0,21821.0,110000.0,7274,76246.0,
MU,1303502,Pauini (AM),0.0,506.0,217.0,980.0,822.0,4145.0,2042,21404.0,
MU,1303536,Presidente Figueiredo (AM),1.0,252.0,,,,,1100,11530.0,
MU,1303569,Rio Preto da Eva (AM),1.0,247.0,,2705.0,2270.0,11445.0,6643,69632.0,
MU,1303601,Santa Isabel do Rio Negro (AM),,281.0,,119.0,100.0,505.0,387,4057.0,
MU,1303700,Santo Antônio do Içá (AM),1.0,798.0,,,,,7248,75973.0,
MU,1303809,São Gabriel da Cachoeira (AM),,130.0,622.0,,,,4,42.0,
MU,1303908,São Paulo de Olivença (AM),1.0,708.0,678.0,337.0,283.0,1427.0,8816,92409.0,
MU,1303957,São Sebastião do Uatumã (AM),1.0,549.0,243.0,1661.0,1394.0,7027.0,800,8386.0,
MU,1304005,Silves (AM),6.0,2147.0,1616.0,3368.0,2826.0,14248.0,4600,48217.0,
MU,1304062,Tabatinga (AM),0.0,70.0,,218.0,183.0,922.0,4200,44024.0,
MU,1304104,Tapauá (AM),0.0,3812.0,,,,,16117,168938.0,
MU,1304203,Tefé (AM),3.0,341.0,781.0,417.0,350.0,1764.0,3143,32945.0,
MU,1304237,Tonantins (AM),0.0,441.0,,,,,2145,22484.0,
MU,1304260,Uarini (AM),,166.0,309.0,,,,2153,22568.0,
MU,1304302,Urucará (AM),7.0,554.0,706.0,3639.0,3054.0,15393.0,5006,52473.0,
MU,1304401,Urucurituba (AM),7.0,2622.0,994.0,4023.0,3376.0,17017.0,10393,108939.0,
MU,1400027,Amajari (RR),,,,,,,...,,
MU,1400050,Alto Alegre (RR),70.0,2860.0,4790.0,12611.0,10583.0,53349.0,19818,207731.0,
MU,1400100,Boa Vista (RR),526.0,11275.0,18904.0,27059.0,22707.0,114469.0,106861,1120112.0,
MU,1400159,Bonfim (RR),104.0,2860.0,5366.0,10946.0,9186.0,46307.0,16356,171443.0,
MU,1400175,Cantá (RR),,,,,,,...,,
MU,1400209,Caracaraí (RR),10.0,1746.0,1558.0,2035.0,1708.0,8608.0,23314,244376.0,
MU,1400233,Caroebe (RR),,,,,,,...,,
MU,1400282,Iracema (RR),,,,,,,...,,
MU,1400308,Mucajaí (RR),8.0,682.0,1216.0,3353.0,2813.0,14183.0,18952,198654.0,
MU,1400407,Normandia (RR),175.0,1672.0,11443.0,19853.0,16660.0,83984.0,7051,73908.0,
MU,1400456,Pacaraima (RR),,,,,,,...,,
MU,1400472,Rorainópolis (RR),,,,,,,...,,
MU,1400506,São João da Baliza (RR),4.0,3071.0,800.0,3034.0,2546.0,12833.0,46443,486813.0,
MU,1400605,São Luiz (RR),5.0,1744.0,1402.0,3728.0,3128.0,15770.0,36988,387707.0,
MU,1400704,Uiramutã (RR),,,,,,,...,,
MU,1500107,Abaetetuba (PA),17.0,10859.0,2217.0,979.0,821.0,4140.0,41000,429760.0,
MU,1500131,Abel Figueiredo (PA),,,,,,,...,,
MU,1500206,Acará (PA),25.0,10931.0,879.0,3351.0,2812.0,14175.0,21215,222375.0,
MU,1500305,Afuá (PA),20.0,14882.0,1502.0,2773.0,2327.0,11730.0,12670,132806.0,
MU,1500347,Água Azul do Norte (PA),,,,,,,...,,
MU,1500404,Alenquer (PA),268.0,11533.0,13025.0,39258.0,32944.0,166075.0,72880,763925.0,
MU,1500503,Almeirim (PA),17.0,4643.0,3750.0,9271.0,7780.0,39220.0,26064,273202.0,
MU,1500602,Altamira (PA),54.0,19634.0,11589.0,21369.0,17933.0,90400.0,410000,4297602.0,
MU,1500701,Anajás (PA),1.0,3045.0,,365.0,306.0,1545.0,7220,75680.0,
MU,1500800,Ananindeua (PA),1.0,1738.0,212.0,,,,92060,964969.0,
MU,1500859,Anapu (PA),,,,,,,...,,
MU,1500909,Augusto Corrêa (PA),19.0,1173.0,2529.0,2269.0,1904.0,9600.0,14300,149892.0,
MU,1500958,Aurora do Pará (PA),,,,,,,...,,
MU,1501006,Aveiro (PA),4.0,4442.0,1195.0,1012.0,849.0,4280.0,16675,174787.0,
MU,1501105,Bagre (PA),,6659.0,,114.0,96.0,484.0,3250,34066.0,
