Level,Code.,Municipality,Horse,Pork - total,Sheep_Goat,beef_cattle,milk_cattle,excl_cattle,Layers,Broilers,标记
MU,1100015,Alta Floresta D'Oeste (RO),138.0,5850.0,6011.0,85721.0,50927.0,365665.0,35751,874299.0,
MU,1100023,Ariquemes (RO),175.0,5126.0,8025.0,104747.0,62230.0,446822.0,35388,865422.0,
MU,1100031,Cabixi (RO),60.0,3411.0,3708.0,28790.0,17104.0,122809.0,17421,426035.0,
MU,1100049,Cacoal (RO),172.0,9581.0,5444.0,98326.0,58415.0,419435.0,134199,3281869.0,
MU,1100056,Cerejeiras (RO),28.0,2753.0,1687.0,21048.0,12505.0,89786.0,6746,164975.0,
MU,1100064,Colorado do Oeste (RO),100.0,6250.0,4414.0,55298.0,32853.0,235888.0,26625,651121.0,
MU,1100072,Corumbiara (RO),89.0,3604.0,2178.0,63459.0,37701.0,270700.0,16983,415323.0,
MU,1100080,Costa Marques (RO),54.0,2040.0,2849.0,41143.0,24443.0,175504.0,13952,341200.0,
MU,1100098,Espigão D'Oeste (RO),120.0,6363.0,3393.0,87323.0,51879.0,372499.0,16845,411949.0,
MU,1100106,Guajará-Mirim (RO),63.0,2272.0,3634.0,29202.0,17349.0,124569.0,10858,265535.0,
MU,1100114,Jaru (RO),263.0,9387.0,4269.0,118815.0,70588.0,506836.0,50033,1223569.0,
MU,1100122,Ji-Paraná (RO),216.0,7222.0,7510.0,101719.0,60431.0,433906.0,41305,1010124.0,
MU,1100130,Machadinho D'Oeste (RO),131.0,5954.0,4260.0,,,,43512,1064097.0,
MU,1100148,Nova Brasilândia D'Oeste (RO),64.0,3253.0,2146.0,30307.0,18005.0,129282.0,18660,456335.0,
MU,1100155,Ouro Preto do Oeste (RO),195.0,8252.0,2605.0,79924.0,47483.0,340936.0,35067,857572.0,
MU,1100189,Pimenta Bueno (RO),102.0,3551.0,6231.0,56654.0,33658.0,241671.0,23070,564183.0,
MU,1100205,Porto Velho (RO),301.0,8780.0,14954.0,159499.0,94758.0,680380.0,66737,1632070.0,
MU,1100254,Presidente Médici (RO),130.0,4650.0,3640.0,67126.0,39879.0,286340.0,27367,669267.0,
MU,1100262,Rio Crespo (RO),37.0,1044.0,2447.0,30346.0,18028.0,129447.0,5558,135922.0,
MU,1100288,Rolim de Moura (RO),104.0,6113.0,5062.0,53447.0,31753.0,227991.0,41697,1019710.0,
MU,1100296,Santa Luzia D'Oeste (RO),57.0,2458.0,2958.0,39424.0,23421.0,168171.0,15006,366975.0,
MU,1100304,Vilhena (RO),51.0,3094.0,4506.0,22422.0,13321.0,95645.0,135775,3320411.0,
MU,1100320,São Miguel do Guaporé (RO),139.0,6555.0,3665.0,64475.0,38305.0,275035.0,40014,978552.0,
MU,1100338,Nova Mamoré (RO),196.0,7911.0,4302.0,103143.0,61277.0,439981.0,36535,893472.0,
MU,1100346,Alvorada D'Oeste (RO),112.0,3114.0,1556.0,55604.0,33034.0,237191.0,21221,518965.0,
MU,1100379,Alto Alegre dos Parecis (RO),68.0,5010.0,2416.0,36178.0,21493.0,154326.0,20334,497273.0,
MU,1100403,Alto Paraíso (RO),64.0,2010.0,2196.0,51714.0,30723.0,220598.0,13888,339634.0,
MU,1100452,Buritis (RO),155.0,5277.0,2142.0,101158.0,60098.0,431515.0,33297,814286.0,
MU,1100502,Novo Horizonte do Oeste (RO),67.0,2906.0,1562.0,30730.0,18257.0,131087.0,19897,486586.0,
MU,1100601,Cacaulândia (RO),94.0,1953.0,2323.0,58765.0,34912.0,250675.0,12641,309139.0,
MU,1100700,Campo Novo de Rondônia (RO),108.0,3259.0,1836.0,74499.0,44260.0,317794.0,22943,561077.0,
MU,1100809,Candeias do Jamari (RO),86.0,2358.0,4113.0,41855.0,24866.0,178541.0,16332,399403.0,
MU,1100908,Castanheiras (RO),42.0,1289.0,1399.0,25171.0,14954.0,107372.0,9321,227947.0,
MU,1100924,Chupinguaia (RO),67.0,1554.0,1951.0,69378.0,41217.0,295948.0,9507,232496.0,
MU,1100940,Cujubim (RO),59.0,2118.0,2054.0,35452.0,21062.0,151228.0,14397,352082.0,
MU,1101005,Governador Jorge Teixeira (RO),120.0,6363.0,3393.0,87323.0,51879.0,372499.0,16845,411949.0,
MU,1101104,Itapuã do Oeste (RO),43.0,1494.0,3205.0,17605.0,10459.0,75099.0,7196,175980.0,
MU,1101203,Ministro Andreazza (RO),53.0,3367.0,502.0,27139.0,16123.0,115767.0,18573,454207.0,
MU,1101302,Mirante da Serra (RO),69.0,3897.0,990.0,24756.0,14708.0,105604.0,20495,501210.0,
MU,1101401,Monte Negro (RO),95.0,2896.0,4280.0,60266.0,35804.0,257079.0,20237,494901.0,
MU,1101435,Nova União (RO),78.0,3524.0,1017.0,29790.0,17698.0,127075.0,18945,463305.0,
MU,1101450,Parecis (RO),59.0,2241.0,2295.0,36933.0,21942.0,157548.0,11833,289379.0,
MU,1101468,Pimenteiras do Oeste (RO),60.0,566.0,1677.0,28566.0,16971.0,121855.0,3386,82805.0,
MU,1101476,Primavera de Rondônia (RO),24.0,1189.0,797.0,16691.0,9916.0,71200.0,41873,1024014.0,
MU,1101484,São Felipe D'Oeste (RO),34.0,1947.0,728.0,21812.0,12958.0,93043.0,14554,355922.0,
MU,1101492,São Francisco do Guaporé (RO),116.0,5144.0,5479.0,98966.0,58795.0,422162.0,27659,676408.0,
MU,1101500,Seringueiras (RO),79.0,3903.0,2542.0,43140.0,25629.0,184022.0,20648,504952.0,
MU,1101559,Teixeirópolis (RO),50.0,2514.0,1115.0,22341.0,13273.0,95303.0,12186,298012.0,
MU,1101609,Theobroma (RO),127.0,3324.0,1985.0,60829.0,36138.0,259480.0,23219,567826.0,
MU,1101708,Urupá (RO),100.0,4492.0,1357.0,36678.0,21790.0,156460.0,33842,827614.0,
MU,1101757,Vale do Anari (RO),67.0,1993.0,1122.0,28411.0,16879.0,121196.0,15145,370375.0,
MU,1101807,Vale do Paraíso (RO),87.0,2889.0,1298.0,37309.0,22165.0,159151.0,19283,471570.0,
MU,1200013,Acrelândia (AC),164.0,4576.0,3939.0,,,,22249,544105.0,
MU,1200054,Assis Brasil (AC),46.0,4560.0,4208.0,8318.0,4942.0,35483.0,8640,211293.0,
MU,1200104,Brasiléia (AC),150.0,6245.0,8045.0,43659.0,25937.0,186236.0,36243,886331.0,
MU,1200138,Bujari (AC),111.0,2362.0,2948.0,49306.0,29292.0,210325.0,11931,291776.0,
MU,1200179,Capixaba (AC),87.0,3576.0,2708.0,27674.0,16441.0,118049.0,22498,550194.0,
MU,1200203,Cruzeiro do Sul (AC),28.0,7663.0,2141.0,8089.0,4806.0,34505.0,51500,1259445.0,
MU,1200252,Epitaciolândia (AC),64.0,2725.0,2612.0,18508.0,10996.0,78950.0,25168,615490.0,
MU,1200302,Feijó (AC),69.0,20211.0,10107.0,17208.0,10223.0,73404.0,26797,655327.0,
MU,1200328,Jordão (AC),2.0,1778.0,1316.0,1479.0,879.0,6311.0,6798,166247.0,
MU,1200336,Mâncio Lima (AC),7.0,2555.0,1081.0,3228.0,1918.0,13771.0,11860,290039.0,
MU,1200344,Manoel Urbano (AC),30.0,1991.0,2215.0,,,,3712,90778.0,
MU,1200351,Marechal Thaumaturgo (AC),1.0,6097.0,2071.0,,,,13336,326135.0,
MU,1200385,Plácido de Castro (AC),141.0,4935.0,5444.0,33049.0,19634.0,140979.0,25301,618742.0,
MU,1200393,Porto Walter (AC),2.0,4630.0,1021.0,,,,8950,218874.0,
MU,1200401,Rio Branco (AC),365.0,10670.0,10073.0,109380.0,64982.0,466587.0,61437,1502457.0,
MU,1200427,Rodrigues Alves (AC),8.0,1446.0,985.0,2242.0,1332.0,9563.0,11960,292485.0,
MU,1200435,Santa Rosa do Purus (AC),2.0,1194.0,400.0,,,,4180,102223.0,
MU,1200450,Senador Guiomard (AC),195.0,2851.0,8610.0,58585.0,34805.0,249909.0,117066,2862878.0,
MU,1200500,Sena Madureira (AC),226.0,11106.0,15074.0,50286.0,29875.0,214507.0,19344,473062.0,
MU,1200609,Tarauacá (AC),63.0,12184.0,4308.0,31527.0,18730.0,134486.0,29250,715316.0,
MU,1200708,Xapuri (AC),186.0,6106.0,4412.0,49080.0,29158.0,209363.0,19860,485681.0,
MU,1200807,Porto Acre (AC),129.0,4280.0,6573.0,33703.0,20023.0,143770.0,17153,419481.0,
MU,1300029,Alvarães (AM),,310.0,133.0,183.0,109.0,780.0,2800,68475.0,
MU,1300060,Amaturá (AM),,275.0,123.0,406.0,241.0,1733.0,3600,88039.0,
MU,1300086,Anamã (AM),0.0,408.0,,,,,150,3668.0,
MU,1300102,Anori (AM),,104.0,,,,,2100,51356.0,
MU,1300144,Apuí (AM),22.0,3455.0,1282.0,34336.0,20399.0,146469.0,31000,758113.0,
