Level,Code.,Municipality,Horse,Pork - total,Sheep_Goat,beef_cattle,milk_cattle,excl_cattle,Layers,Broilers,标记
MU,1100015,Alta Floresta D'Oeste (RO),140.0,6880.0,5378.0,90819.0,51628.0,356117.0,34220,910419.0,
MU,1100023,Ariquemes (RO),164.0,3422.0,5847.0,112306.0,63843.0,440374.0,37755,1004467.0,
MU,1100031,Cabixi (RO),58.0,3162.0,2838.0,30458.0,17314.0,119430.0,16706,444461.0,
MU,1100049,Cacoal (RO),158.0,7614.0,4662.0,103914.0,59072.0,407466.0,67955,1807934.0,
MU,1100056,Cerejeiras (RO),45.0,5065.0,3055.0,22326.0,12692.0,87545.0,14034,373373.0,
MU,1100064,Colorado do Oeste (RO),104.0,5862.0,4015.0,56538.0,32141.0,221698.0,27650,735625.0,
MU,1100072,Corumbiara (RO),92.0,3731.0,1509.0,61213.0,34798.0,240027.0,19345,514671.0,
MU,1100080,Costa Marques (RO),47.0,3064.0,2174.0,37473.0,21302.0,146937.0,13945,371005.0,
MU,1100098,Espigão D'Oeste (RO),135.0,7074.0,3448.0,90888.0,51667.0,356390.0,6951,184930.0,
MU,1100106,Guajará-Mirim (RO),58.0,1644.0,3707.0,29816.0,16950.0,116916.0,7514,199909.0,
MU,1100114,Jaru (RO),256.0,7437.0,3497.0,130361.0,74107.0,511171.0,43568,1159121.0,
MU,1100122,Ji-Paraná (RO),213.0,5937.0,7404.0,111266.0,63251.0,436293.0,38434,1022532.0,
MU,1100130,Machadinho D'Oeste (RO),137.0,5811.0,3804.0,61684.0,35066.0,241874.0,41033,1091678.0,
MU,1100148,Nova Brasilândia D'Oeste (RO),54.0,2314.0,1512.0,31351.0,17822.0,122935.0,16138,429349.0,
MU,1100155,Ouro Preto do Oeste (RO),179.0,5531.0,2284.0,84620.0,48104.0,331810.0,31266,831828.0,
MU,1100189,Pimenta Bueno (RO),102.0,3306.0,5394.0,59796.0,33993.0,234473.0,24352,647882.0,
MU,1100205,Porto Velho (RO),245.0,6231.0,12256.0,157740.0,89671.0,618528.0,42918,1141828.0,
MU,1100254,Presidente Médici (RO),129.0,4058.0,2594.0,70378.0,40008.0,275966.0,27404,729080.0,
MU,1100262,Rio Crespo (RO),41.0,946.0,2575.0,34187.0,19435.0,134055.0,6657,177109.0,
MU,1100288,Rolim de Moura (RO),93.0,3949.0,4098.0,56802.0,32291.0,222733.0,30903,822170.0,
MU,1100296,Santa Luzia D'Oeste (RO),54.0,2387.0,1522.0,,,,14240,378853.0,
MU,1100304,Vilhena (RO),54.0,3136.0,4141.0,,,,151428,4028723.0,
MU,1100320,São Miguel do Guaporé (RO),141.0,6084.0,3739.0,69622.0,39578.0,273001.0,40148,1068133.0,
MU,1100338,Nova Mamoré (RO),151.0,6005.0,3300.0,103238.0,58688.0,404817.0,30513,811795.0,
MU,1100346,Alvorada D'Oeste (RO),108.0,4340.0,2043.0,58705.0,33372.0,230194.0,23076,613934.0,
MU,1100379,Alto Alegre dos Parecis (RO),72.0,5206.0,1529.0,37412.0,21268.0,146700.0,20185,537019.0,
MU,1100403,Alto Paraíso (RO),88.0,3401.0,2783.0,52887.0,30065.0,207381.0,22207,590814.0,
MU,1100452,Buritis (RO),157.0,8048.0,2361.0,98961.0,56256.0,388044.0,43360,1153587.0,
MU,1100502,Novo Horizonte do Oeste (RO),67.0,2820.0,1481.0,30659.0,17429.0,120221.0,18946,504056.0,
MU,1100601,Cacaulândia (RO),74.0,1409.0,1515.0,66143.0,37600.0,259359.0,11371,302524.0,
MU,1100700,Campo Novo de Rondônia (RO),103.0,3814.0,1483.0,70924.0,40318.0,278107.0,24478,651234.0,
MU,1100809,Candeias do Jamari (RO),56.0,1448.0,3501.0,44821.0,25480.0,175752.0,19950,530767.0,
MU,1100908,Castanheiras (RO),40.0,1001.0,1418.0,25830.0,14684.0,101285.0,8936,237741.0,
MU,1100924,Chupinguaia (RO),78.0,1976.0,1765.0,73687.0,41889.0,288940.0,14034,373373.0,
MU,1100940,Cujubim (RO),50.0,1600.0,898.0,33985.0,19319.0,133261.0,12416,330326.0,
MU,1101005,Governador Jorge Teixeira (RO),125.0,3008.0,1059.0,61976.0,35232.0,243020.0,23897,635777.0,
MU,1101104,Itapuã do Oeste (RO),44.0,1062.0,3422.0,19551.0,11114.0,76664.0,8540,227206.0,
MU,1101203,Ministro Andreazza (RO),52.0,2820.0,398.0,28625.0,16272.0,112243.0,17476,464947.0,
MU,1101302,Mirante da Serra (RO),67.0,3380.0,788.0,26533.0,15083.0,104041.0,20329,540851.0,
MU,1101401,Monte Negro (RO),93.0,2692.0,3894.0,61264.0,34827.0,240228.0,19682,523637.0,
MU,1101435,Nova União (RO),71.0,3048.0,815.0,31652.0,17993.0,124114.0,20076,534119.0,
MU,1101450,Parecis (RO),57.0,2200.0,2219.0,36781.0,20909.0,144225.0,10732,285524.0,
MU,1101468,Pimenteiras do Oeste (RO),29.0,985.0,1675.0,30453.0,17312.0,119412.0,4171,110969.0,
MU,1101476,Primavera de Rondônia (RO),29.0,1188.0,1210.0,17204.0,9780.0,67461.0,14806,393912.0,
MU,1101484,São Felipe D'Oeste (RO),33.0,1591.0,638.0,23821.0,13541.0,93405.0,13867,368930.0,
MU,1101492,São Francisco do Guaporé (RO),92.0,4640.0,4150.0,98783.0,56156.0,387348.0,22613,601616.0,
MU,1101500,Seringueiras (RO),73.0,3248.0,1728.0,44687.0,25403.0,175225.0,19015,505892.0,
MU,1101559,Teixeirópolis (RO),47.0,3265.0,770.0,22936.0,13038.0,89936.0,11868,315747.0,
MU,1101609,Theobroma (RO),101.0,2219.0,2570.0,61002.0,34678.0,239201.0,17541,466676.0,
MU,1101708,Urupá (RO),102.0,4460.0,889.0,39217.0,22294.0,153778.0,33749,897888.0,
MU,1101757,Vale do Anari (RO),70.0,2667.0,1095.0,30983.0,17613.0,121491.0,17868,475376.0,
MU,1101807,Vale do Paraíso (RO),89.0,2895.0,1214.0,39564.0,22491.0,155138.0,18858,501715.0,
MU,1200013,Acrelândia (AC),148.0,5320.0,3634.0,47282.0,26878.0,185401.0,24724,657779.0,
MU,1200054,Assis Brasil (AC),47.0,4530.0,5291.0,7927.0,4506.0,31084.0,7880,209646.0,
MU,1200104,Brasiléia (AC),161.0,7435.0,10126.0,46716.0,26557.0,183183.0,28592,760687.0,
MU,1200138,Bujari (AC),104.0,2314.0,2314.0,53657.0,30502.0,210398.0,11740,312341.0,
MU,1200179,Capixaba (AC),95.0,3755.0,3257.0,29284.0,16647.0,114829.0,23904,635963.0,
MU,1200203,Cruzeiro do Sul (AC),26.0,8363.0,1984.0,10558.0,6002.0,41400.0,48943,1302122.0,
MU,1200252,Epitaciolândia (AC),67.0,2733.0,2966.0,22555.0,12822.0,88444.0,23270,619095.0,
MU,1200302,Feijó (AC),85.0,24970.0,12176.0,17944.0,10201.0,70363.0,24200,643838.0,
MU,1200328,Jordão (AC),2.0,1691.0,1267.0,1442.0,820.0,5654.0,6413,170617.0,
MU,1200336,Mâncio Lima (AC),4.0,2578.0,998.0,4223.0,2400.0,16558.0,8610,229068.0,
MU,1200344,Manoel Urbano (AC),32.0,2008.0,2372.0,,,,2990,79549.0,
MU,1200351,Marechal Thaumaturgo (AC),1.0,6306.0,2070.0,,,,9325,248090.0,
MU,1200385,Plácido de Castro (AC),159.0,4943.0,6480.0,40706.0,23140.0,159617.0,30600,814109.0,
MU,1200393,Porto Walter (AC),2.0,6426.0,967.0,,,,8480,225609.0,
MU,1200401,Rio Branco (AC),309.0,12858.0,9239.0,98629.0,56068.0,386744.0,72930,1940294.0,
MU,1200427,Rodrigues Alves (AC),8.0,1510.0,804.0,3054.0,1736.0,11977.0,10032,266900.0,
MU,1200435,Santa Rosa do Purus (AC),2.0,1272.0,358.0,,,,4562,121371.0,
MU,1200450,Senador Guiomard (AC),223.0,2924.0,8024.0,65356.0,37153.0,256275.0,138480,3684243.0,
MU,1200500,Sena Madureira (AC),247.0,13703.0,18278.0,54042.0,30721.0,211909.0,21334,567588.0,
MU,1200609,Tarauacá (AC),48.0,11874.0,4109.0,33975.0,19314.0,133222.0,26778,712425.0,
MU,1200708,Xapuri (AC),185.0,6093.0,4074.0,49473.0,28124.0,193994.0,18980,504961.0,
MU,1200807,Porto Acre (AC),125.0,4342.0,5412.0,39151.0,22256.0,153520.0,21660,576262.0,
MU,1300029,Alvarães (AM),,678.0,174.0,285.0,162.0,1118.0,7760,206454.0,
MU,1300060,Amaturá (AM),,617.0,381.0,,,,507,13489.0,
MU,1300086,Anamã (AM),0.0,1319.0,,,,,109,2900.0,
MU,1300102,Anori (AM),,203.0,,,,,1019,27110.0,
MU,1300144,Apuí (AM),21.0,5228.0,1315.0,35404.0,20126.0,138825.0,61590,1638594.0,
MU,1300201,Atalaia do Norte (AM),,1501.0,324.0,,,,4587,122037.0,
MU,1300300,Autazes (AM),23.0,4202.0,3420.0,19609.0,11147.0,76889.0,1001,26631.0,
MU,1300409,Barcelos (AM),0.0,513.0,,,,,-,,
MU,1300508,Barreirinha (AM),,4301.0,3515.0,11438.0,6502.0,44851.0,15040,400137.0,
MU,1300607,Benjamin Constant (AM),1.0,388.0,,,,,8145,216697.0,
MU,1300631,Beruri (AM),2.0,264.0,282.0,486.0,276.0,1905.0,1600,42568.0,
MU,1300680,Boa Vista do Ramos (AM),15.0,982.0,1530.0,4229.0,2404.0,16582.0,-,,
MU,1300706,Boca do Acre (AM),48.0,1985.0,1099.0,,,,6402,170324.0,
MU,1300805,Borba (AM),0.0,1392.0,745.0,1902.0,1081.0,7459.0,1453,38657.0,
MU,1300839,Caapiranga (AM),1.0,938.0,201.0,484.0,275.0,1898.0,2800,74494.0,
MU,1300904,Canutama (AM),1.0,1678.0,81.0,3548.0,2017.0,13913.0,837,22268.0,
MU,1301001,Carauari (AM),0.0,1833.0,354.0,,,,4060,108016.0,
MU,1301100,Careiro (AM),46.0,1963.0,2038.0,7104.0,4039.0,27858.0,-,,
MU,1301159,Careiro da Várzea (AM),16.0,2418.0,1748.0,15063.0,8563.0,59066.0,2127,56589.0,
MU,1301209,Coari (AM),,993.0,424.0,1445.0,821.0,5665.0,-,,
MU,1301308,Codajás (AM),0.0,117.0,,650.0,369.0,2548.0,640,17027.0,
MU,1301407,Eirunepé (AM),6.0,10340.0,836.0,4931.0,2803.0,19337.0,13320,354377.0,
MU,1301506,Envira (AM),14.0,3194.0,580.0,,,,1545,41105.0,
MU,1301605,Fonte Boa (AM),0.0,1530.0,,,,,1627,43286.0,
MU,1301654,Guajará (AM),5.0,6562.0,2400.0,9435.0,5363.0,36996.0,9740,259131.0,
MU,1301704,Humaitá (AM),1.0,506.0,1484.0,,,,516,13728.0,
MU,1301803,Ipixuna (AM),1.0,14148.0,549.0,4482.0,2548.0,17575.0,830,22082.0,
MU,1301852,Iranduba (AM),1.0,804.0,693.0,,,,245000,6518194.0,
MU,1301902,Itacoatiara (AM),26.0,3469.0,6347.0,17939.0,10198.0,70343.0,58138,1546754.0,
MU,1301951,Itamarati (AM),0.0,733.0,109.0,,,,-,,
MU,1302009,Itapiranga (AM),1.0,440.0,279.0,1433.0,815.0,5621.0,412,10961.0,
MU,1302108,Japurá (AM),,,,,,,-,,
MU,1302207,Juruá (AM),0.0,715.0,,,,,-,,
MU,1302306,Jutaí (AM),1.0,2523.0,658.0,,,,12073,321201.0,
