Level,Code.,Municipality,Horse,Pork - total,Sheep_Goat,beef_cattle,milk_cattle,excl_cattle,Layers,Broilers,标记
MU,1100015,Alta Floresta D'Oeste (RO),,,,,,,...,,
MU,1100023,Ariquemes (RO),64.0,16820.0,327.0,6087.0,5868.0,25010.0,83300,714380.0,
MU,1100031,Cabixi (RO),,,,,,,...,,
MU,1100049,Cacoal (RO),39.0,28033.0,1854.0,6462.0,6229.0,26550.0,300000,2572798.0,
MU,1100056,Cerejeiras (RO),,,,,,,...,,
MU,1100064,Colorado do Oeste (RO),22.0,52627.0,,,,,236000,2023934.0,
MU,1100072,Corumbiara (RO),,,,,,,...,,
MU,1100080,Costa Marques (RO),18.0,897.0,990.0,2444.0,2356.0,10040.0,20000,171520.0,
MU,1100098,Espigão D'Oeste (RO),25.0,7401.0,,4495.0,4333.0,18468.0,71388,612223.0,
MU,1100106,Guajará-Mirim (RO),20.0,1736.0,2135.0,5891.0,5679.0,24204.0,66000,566016.0,
MU,1100114,Jaru (RO),32.0,9696.0,867.0,,,,103322,886089.0,
MU,1100122,Ji-Paraná (RO),80.0,27966.0,528.0,9544.0,9200.0,39211.0,99373,852222.0,
MU,1100130,Machadinho D'Oeste (RO),,,,,,,...,,
MU,1100148,Nova Brasilândia D'Oeste (RO),,,,,,,...,,
MU,1100155,Ouro Preto do Oeste (RO),106.0,32297.0,753.0,10280.0,9909.0,42236.0,98507,844795.0,
MU,1100189,Pimenta Bueno (RO),231.0,17268.0,6209.0,10780.0,10391.0,44290.0,166572,1428520.0,
MU,1100205,Porto Velho (RO),59.0,3151.0,2191.0,7089.0,6833.0,29125.0,309323,2652752.0,
MU,1100254,Presidente Médici (RO),47.0,6881.0,335.0,2507.0,2417.0,10302.0,25371,217582.0,
MU,1100262,Rio Crespo (RO),,,,,,,...,,
MU,1100288,Rolim de Moura (RO),,,,,,,...,,
MU,1100296,Santa Luzia D'Oeste (RO),,,,,,,...,,
MU,1100304,Vilhena (RO),11.0,7049.0,,10964.0,10568.0,45045.0,240000,2058238.0,
MU,1100320,São Miguel do Guaporé (RO),,,,,,,...,,
MU,1100338,Nova Mamoré (RO),,,,,,,...,,
MU,1100346,Alvorada D'Oeste (RO),,,,,,,...,,
MU,1100379,Alto Alegre dos Parecis (RO),,,,,,,...,,
MU,1100403,Alto Paraíso (RO),,,,,,,...,,
MU,1100452,Buritis (RO),,,,,,,...,,
MU,1100502,Novo Horizonte do Oeste (RO),,,,,,,...,,
MU,1100601,Cacaulândia (RO),,,,,,,...,,
MU,1100700,Campo Novo de Rondônia (RO),,,,,,,...,,
MU,1100809,Candeias do Jamari (RO),,,,,,,...,,
MU,1100908,Castanheiras (RO),,,,,,,...,,
MU,1100924,Chupinguaia (RO),,,,,,,...,,
MU,1100940,Cujubim (RO),,,,,,,...,,
MU,1101005,Governador Jorge Teixeira (RO),,,,,,,...,,
MU,1101104,Itapuã do Oeste (RO),,,,,,,...,,
MU,1101203,Ministro Andreazza (RO),,,,,,,...,,
MU,1101302,Mirante da Serra (RO),,,,,,,...,,
MU,1101401,Monte Negro (RO),,,,,,,...,,
MU,1101435,Nova União (RO),,,,,,,...,,
MU,1101450,Parecis (RO),,,,,,,...,,
MU,1101468,Pimenteiras do Oeste (RO),,,,,,,...,,
MU,1101476,Primavera de Rondônia (RO),,,,,,,...,,
MU,1101484,São Felipe D'Oeste (RO),,,,,,,...,,
MU,1101492,São Francisco do Guaporé (RO),,,,,,,...,,
MU,1101500,Seringueiras (RO),,,,,,,...,,
MU,1101559,Teixeirópolis (RO),,,,,,,...,,
MU,1101609,Theobroma (RO),,,,,,,...,,
MU,1101708,Urupá (RO),,,,,,,...,,
MU,1101757,Vale do Anari (RO),,,,,,,...,,
MU,1101807,Vale do Paraíso (RO),,,,,,,...,,
MU,1200013,Acrelândia (AC),,,,,,,...,,
MU,1200054,Assis Brasil (AC),4.0,539.0,982.0,,,,2627,22529.0,
MU,1200104,Brasiléia (AC),34.0,5276.0,3392.0,,,,37435,321042.0,
MU,1200138,Bujari (AC),,,,,,,...,,
MU,1200179,Capixaba (AC),,,,,,,...,,
MU,1200203,Cruzeiro do Sul (AC),7.0,6331.0,516.0,1835.0,1769.0,7538.0,35087,300906.0,
MU,1200252,Epitaciolândia (AC),,,,,,,...,,
MU,1200302,Feijó (AC),12.0,11079.0,2886.0,,,,40380,346299.0,
MU,1200328,Jordão (AC),,,,,,,...,,
MU,1200336,Mâncio Lima (AC),2.0,2276.0,115.0,,,,6450,55315.0,
MU,1200344,Manoel Urbano (AC),10.0,1794.0,,,,,11890,101969.0,
MU,1200351,Marechal Thaumaturgo (AC),,,,,,,...,,
MU,1200385,Plácido de Castro (AC),21.0,2280.0,2412.0,,,,38200,327603.0,
MU,1200393,Porto Walter (AC),,,,,,,...,,
MU,1200401,Rio Branco (AC),137.0,8705.0,4703.0,35824.0,34532.0,147185.0,188063,1612827.0,
MU,1200427,Rodrigues Alves (AC),,,,,,,...,,
MU,1200435,Santa Rosa do Purus (AC),,,,,,,...,,
MU,1200450,Senador Guiomard (AC),25.0,2505.0,1675.0,,,,62120,532741.0,
MU,1200500,Sena Madureira (AC),16.0,5346.0,2897.0,6681.0,6439.0,27447.0,43451,372635.0,
MU,1200609,Tarauacá (AC),34.0,8968.0,1285.0,5359.0,5165.0,22016.0,50912,436621.0,
MU,1200708,Xapuri (AC),50.0,3840.0,1898.0,21119.0,20357.0,86766.0,32720,280606.0,
MU,1200807,Porto Acre (AC),,,,,,,...,,
MU,1300029,Alvarães (AM),,,,,,,...,,
MU,1300060,Amaturá (AM),,,,,,,...,,
MU,1300086,Anamã (AM),,,,,,,...,,
MU,1300102,Anori (AM),,154.0,,,,,1030,8833.0,
MU,1300144,Apuí (AM),,,,,,,...,,
MU,1300201,Atalaia do Norte (AM),,204.0,,,,,1811,15531.0,
MU,1300300,Autazes (AM),8.0,5084.0,3593.0,8390.0,8087.0,34470.0,11855,101668.0,
MU,1300409,Barcelos (AM),,56.0,,,,,247,2118.0,
MU,1300508,Barreirinha (AM),15.0,2869.0,134.0,3129.0,3016.0,12855.0,13607,116694.0,
MU,1300607,Benjamin Constant (AM),1.0,916.0,,411.0,396.0,1689.0,9070,77784.0,
MU,1300631,Beruri (AM),,,,,,,...,,
MU,1300680,Boa Vista do Ramos (AM),,,,,,,...,,
MU,1300706,Boca do Acre (AM),6.0,8305.0,1071.0,,,,36732,315013.0,
MU,1300805,Borba (AM),,1712.0,983.0,,,,8136,69774.0,
MU,1300839,Caapiranga (AM),,,,,,,...,,
MU,1300904,Canutama (AM),1.0,2663.0,,,,,1812,15540.0,
MU,1301001,Carauari (AM),3.0,534.0,112.0,,,,402,3448.0,
MU,1301100,Careiro (AM),34.0,4781.0,1615.0,11815.0,11389.0,48542.0,34681,297424.0,
MU,1301159,Careiro da Várzea (AM),,,,,,,...,,
MU,1301209,Coari (AM),2.0,176.0,,,,,1596,13687.0,
MU,1301308,Codajás (AM),,67.0,,,,,1710,14665.0,
MU,1301407,Eirunepé (AM),,1731.0,124.0,,,,4230,36276.0,
MU,1301506,Envira (AM),,2287.0,400.0,,,,18990,162858.0,
MU,1301605,Fonte Boa (AM),1.0,2762.0,,,,,14048,120476.0,
MU,1301654,Guajará (AM),,,,,,,...,,
MU,1301704,Humaitá (AM),,3453.0,,837.0,807.0,3440.0,25708,220472.0,
MU,1301803,Ipixuna (AM),1.0,3050.0,,,,,14341,122988.0,
MU,1301852,Iranduba (AM),,,,,,,...,,
MU,1301902,Itacoatiara (AM),9.0,2868.0,1350.0,9285.0,8950.0,38149.0,54368,466260.0,
MU,1301951,Itamarati (AM),,,,,,,...,,
MU,1302009,Itapiranga (AM),1.0,1157.0,218.0,,,,3420,29330.0,
MU,1302108,Japurá (AM),0.0,235.0,,,,,1225,10506.0,
MU,1302207,Juruá (AM),1.0,110.0,,,,,115,986.0,
MU,1302306,Jutaí (AM),,1887.0,,,,,7989,68514.0,
MU,1302405,Lábrea (AM),1.0,4027.0,66.0,,,,5302,45470.0,
MU,1302504,Manacapuru (AM),9.0,1338.0,156.0,3078.0,2967.0,12647.0,14750,126496.0,
MU,1302553,Manaquiri (AM),,,,,,,...,,
MU,1302603,Manaus (AM),12.0,3681.0,544.0,4436.0,4276.0,18227.0,205148,1759348.0,
MU,1302702,Manicoré (AM),1.0,4538.0,,1180.0,1137.0,4846.0,26584,227984.0,
MU,1302801,Maraã (AM),,579.0,38.0,,,,5422,46499.0,
