code,county,Wheat,Oats,Barley,Sorghum,Rice,Maize (corn),Cereal crops - All other cereals for grain or seed - Production (t),Other crops - Cotton (irrigated and non-irrigated) - Lint production (kg)（数据已改成吨）,Rape or colza seed,"Chick peas, dry","Lentils, dry",Lupins,Other crops - Pulses and legumes - Other pulses - Production (t),Sugar cane,"Hay and silage - Total pasture, cereal and other crops cut for hay and silage - Production(t)","Tangerines, mandarins, clementines",Oranges,Cherries,Fruit and nuts - Stone fruit - Nectarines - Production (t),Fruit and nuts - Stone fruit - Peaches - Production (t),Apples,Avocados,"Mangoes, guavas and mangosteens",Olives,Pears,"Almonds, in shell","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",Strawberries,Bananas,Pineapples,Grapes,Vegetables - Beans (including french and runner) - Production (kg)（单位已改成吨）,Vegetables - Broccoli - Production (kg)（单位已改成吨）,Cabbages,Vegetables - Capsicums (excluding chillies) - Production (kg)（单位已改成吨）,Carrots and turnips,Vegetables - Cauliflowers - Production (t),Cucumbers and gherkins,Vegetables - Herbs - Production (kg)（单位已改成吨）,Vegetables - Lettuces - Production (kg)（单位已改为吨）,Cantaloupes and other melons,Vegetables - Mushrooms - Production (kg)（单位已改为吨）,"Onions and shallots, dry (excluding dehydrated)",Potatoes,"Pumpkins, squash and gourds",Green corn (maize),Tomatoes,标记
101021007,Braidwood,39.86999894213074,235.51995532789903,488.9300103468785,0.0,0.0,0.0,0.0,0.0,406.2699914584351,0.0,0.0,0.0,0.0,0.0,5479.94,0.0,0.0,0.0,6.94,24.52,0.2399999747276677,0.0,0.0,2.9300012633477217,0.0,0.0,0.0,0.0,0.0,0.0,2.379999861153585,0.16226,0.00721,0.0,0.02885,1.200000154251514,0.0,1.2,0.48076,0.0,0.0,0.0,0.0,0.0,1.2,4.809997485706818,0.0,
101021009,Queanbeyan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101021610,Googong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101021611,Queanbeyan Surrounds,955.8799746376708,244.21995367773224,0.0,0.0,0.0,0.0,282.89,0.0,472.68999006199743,0.0,0.0,0.0,0.0,0.0,3361.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.750010240446542,0.0,0.0,0.0,0.0,0.0,0.0,7.959999535622916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.44999948802445,9.62,0.0,0.0,
101031013,Bombala,1200.6999681418706,576.4398906641226,1019.7100215793988,0.0,0.0,0.0,230.38,0.0,1044.689978036066,0.0,0.0,0.0,0.0,0.0,5080.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101031014,Cooma,100.91999732229333,116.64997787448804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101031015,Cooma Surrounds,926.4899754174744,1438.2997271913944,499.0800105616757,0.0,0.0,0.0,53.75,0.0,227.3699952196923,0.0,0.0,0.0,0.0,0.0,16750.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5999999649967022,0.0,0.0,3850.0009062481577,0.0,0.0,165.0,0.0,0.96153,0.0,0.0,0.0,0.0,3442.529945685942,0.0,0.0,0.0,
101031016,Jindabyne - Berridale,1074.4699714911264,1230.4597666133095,165.09000349368245,0.0,0.0,0.0,427.76,0.0,280.5199941022478,0.0,0.0,0.0,0.0,0.0,3138.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101041019,Bega - Tathra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9732.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.02,1.19999937273351,0.1099999836741245,
101041020,Bega-Eden Hinterland,0.0,79.33998495123774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19693.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.257790733859306,0.0,0.0,0.0,0.0,0.0,0.2299999865820692,0.0,0.145,12.6700029823803,0.00601,6.010000772542999,5.06,0.0,0.0,0.0,0.0,0.0,0.0,9.849999844592938,7.110000000000001,0.0,6.009999108013534,
